Point	Row	Column	Fe_at
1	1	1	0.2049216
2	1	2	0.21797642
3	1	3	0.22123928
4	1	4	0.23263244
5	1	5	0.242331
6	1	6	0.25573289
7	1	7	0.26811734
8	1	8	0.27900696
9	1	9	0.29183614
10	1	10	0.30583972
11	1	11	0.31233162
12	2	1	0.19706498
13	2	2	0.20879434
14	2	3	0.21622579
15	2	4	0.22586103
16	2	5	0.23735537
17	2	6	0.2481032
18	2	7	0.26485857
19	2	8	0.27204284
20	2	9	0.28551966
21	2	10	0.2981258
22	2	11	0.31776762
23	3	1	0.20203951
24	3	2	0.20841664
25	3	3	0.2188614
26	3	4	0.23242843
27	3	5	0.24259162
28	3	6	0.2525928
29	3	7	0.26359591
30	3	8	0.27548766
31	3	9	0.28785285
32	3	10	0.30232471
33	3	11	0.32088017
34	4	1	0.21829154
35	4	2	0.22439279
36	4	3	0.23197958
37	4	4	0.24117278
38	4	5	0.24892218
39	4	6	0.26185229
40	4	7	0.27001023
41	4	8	0.28273064
42	4	9	0.28539196
43	4	10	0.30423018
44	4	11	0.33918586
