Point	Row	Column	110_s_Area
1	1	1	0.40984321
2	1	2	0.43595284
3	1	3	0.44247857
4	1	4	0.46526489
5	1	5	0.484662
6	1	6	0.51146579
7	1	7	0.53623468
8	1	8	0.55801392
9	1	9	0.58367229
10	1	10	0.61167943
11	1	11	0.62466323
12	2	1	0.39412996
13	2	2	0.41758868
14	2	3	0.43245158
15	2	4	0.45172206
16	2	5	0.47471073
17	2	6	0.4962064
18	2	7	0.52971715
19	2	8	0.54408568
20	2	9	0.57103932
21	2	10	0.59625161
22	2	11	0.63553524
23	3	1	0.40407902
24	3	2	0.41683328
25	3	3	0.4377228
26	3	4	0.46485686
27	3	5	0.48518324
28	3	6	0.5051856
29	3	7	0.52719182
30	3	8	0.55097532
31	3	9	0.57570571
32	3	10	0.60464942
33	3	11	0.64176035
34	4	1	0.43658307
35	4	2	0.44878557
36	4	3	0.46395916
37	4	4	0.48234555
38	4	5	0.49784437
39	4	6	0.52370459
40	4	7	0.54002047
41	4	8	0.56546128
42	4	9	0.57078391
43	4	10	0.60846037
44	4	11	0.67837173
