Point	Row	Column	d_um
1	1	1	0.080260001
2	1	2	0.083269998
3	1	3	0.086819999
4	1	4	0.088359997
5	1	5	0.088909999
6	1	6	0.08845
7	1	7	0.086269997
8	1	8	0.082450002
9	1	9	0.078510001
10	1	10	0.073760003
11	1	11	0.072870001
12	2	1	0.096210003
13	2	2	0.10086
14	2	3	0.10661
15	2	4	0.10959
16	2	5	0.11115
17	2	6	0.11105
18	2	7	0.10808
19	2	8	0.10413
20	2	9	0.098679997
21	2	10	0.09155
22	2	11	0.084810004
23	3	1	0.088590004
24	3	2	0.094130002
25	3	3	0.099200003
26	3	4	0.10231
27	3	5	0.1049
28	3	6	0.10434
29	3	7	0.10369
30	3	8	0.10011
31	3	9	0.095239997
32	3	10	0.089890003
33	3	11	0.08219
34	4	1	0.066490002
35	4	2	0.069820002
36	4	3	0.0726
37	4	4	0.07418
38	4	5	0.075570002
39	4	6	0.075510003
40	4	7	0.0757
41	4	8	0.074280001
42	4	9	0.07186
43	4	10	0.068000004
44	4	11	0.06346
