Point	Row	Column	Y_at
1	1	1	0.092645094
2	1	2	0.089382902
3	1	3	0.083744101
4	1	4	0.079539903
5	1	5	0.074009299
6	1	6	0.066521399
7	1	7	0.061937898
8	1	8	0.055967905
9	1	9	0.052332006
10	1	10	0.047131401
11	1	11	0.043397799
12	2	1	0.1009096
13	2	2	0.094625913
14	2	3	0.088428997
15	2	4	0.0843843
16	2	5	0.077264808
17	2	6	0.070360504
18	2	7	0.063954897
19	2	8	0.057592701
20	2	9	0.052035298
21	2	10	0.046260405
22	2	11	0.041773599
23	3	1	0.095036604
24	3	2	0.091097012
25	3	3	0.088311702
26	3	4	0.082915209
27	3	5	0.074536502
28	3	6	0.067144297
29	3	7	0.060100298
30	3	8	0.053164594
31	3	9	0.048138801
32	3	10	0.044810899
33	3	11	0.038827498
34	4	1	0.088513806
35	4	2	0.085394703
36	4	3	0.082433403
37	4	4	0.074838497
38	4	5	0.072463691
39	4	6	0.064522803
40	4	7	0.061597995
41	4	8	0.054932199
42	4	9	0.049210701
43	4	10	0.044595797
44	4	11	0.042899001
