Point	Row	Column	110_s_Position
1	1	1	0.37287936
2	1	2	0.3970716
3	1	3	0.4253414
4	1	4	0.4573476
5	1	5	0.48753661
6	1	6	0.52093261
7	1	7	0.5504266
8	1	8	0.58084488
9	1	9	0.60638046
10	1	10	0.62712377
11	1	11	0.64223361
12	2	1	0.361828
13	2	2	0.39205125
14	2	3	0.41901201
15	2	4	0.45065761
16	2	5	0.48322326
17	2	6	0.51993126
18	2	7	0.55787438
19	2	8	0.59111339
20	2	9	0.6216796
21	2	10	0.64740729
22	2	11	0.66084683
23	3	1	0.38148901
24	3	2	0.40722665
25	3	3	0.43889281
26	3	4	0.47007164
27	3	5	0.50485343
28	3	6	0.54076058
29	3	7	0.57273883
30	3	8	0.60578412
31	3	9	0.63403642
32	3	10	0.65469122
33	3	11	0.66873914
34	4	1	0.40976465
35	4	2	0.43030101
36	4	3	0.4538976
37	4	4	0.4870972
38	4	5	0.51262593
39	4	6	0.54584861
40	4	7	0.57194692
41	4	8	0.59884238
42	4	9	0.62773961
43	4	10	0.64668494
44	4	11	0.66164023
