Point	Row	Column	a_Ang
1	1	1	4.1722336
2	1	2	4.1737404
3	1	3	4.1622639
4	1	4	4.1568751
5	1	5	4.1549964
6	1	6	4.1549525
7	1	7	4.1475706
8	1	8	4.1378627
9	1	9	4.1388898
10	1	10	4.1339588
11	1	11	4.1307945
12	2	1	4.1738386
13	2	2	4.161201
14	2	3	4.1549125
15	2	4	4.1485748
16	2	5	4.1450686
17	2	6	4.1409931
18	2	7	4.1334133
19	2	8	4.1298056
20	2	9	4.1322365
21	2	10	4.1305552
22	2	11	4.1252971
23	3	1	4.1682153
24	3	2	4.1591458
25	3	3	4.1533689
26	3	4	4.1519575
27	3	5	4.1401877
28	3	6	4.1322441
29	3	7	4.1279678
30	3	8	4.1251068
31	3	9	4.126369
32	3	10	4.1298981
33	3	11	4.1254892
34	4	1	4.1573296
35	4	2	4.1550059
36	4	3	4.1509757
37	4	4	4.1463203
38	4	5	4.1408377
39	4	6	4.1330142
40	4	7	4.128408
41	4	8	4.1295142
42	4	9	4.1312914
43	4	10	4.1321702
44	4	11	4.1248803
