Point	Row	Column	_s_Position
1	1	1	0.44699147
2	1	2	0.45296803
3	1	3	0.45695481
4	1	4	0.46334231
5	1	5	0.46926114
6	1	6	0.47131911
7	1	7	0.4756124
8	1	8	0.47861052
9	1	9	0.47993514
10	1	10	0.4774633
11	1	11	0.46838501
12	2	1	0.44801119
13	2	2	0.45386362
14	2	3	0.45848417
15	2	4	0.46327099
16	2	5	0.46884286
17	2	6	0.47400123
18	2	7	0.47826901
19	2	8	0.48069301
20	2	9	0.48322937
21	2	10	0.48184648
22	2	11	0.47484806
23	3	1	0.45203525
24	3	2	0.45551237
25	3	3	0.46193895
26	3	4	0.46715227
27	3	5	0.47001934
28	3	6	0.47536969
29	3	7	0.47884288
30	3	8	0.48192397
31	3	9	0.48323146
32	3	10	0.48205313
33	3	11	0.47538224
34	4	1	0.45039016
35	4	2	0.45570567
36	4	3	0.45745459
37	4	4	0.46474394
38	4	5	0.46915829
39	4	6	0.47361591
40	4	7	0.47747448
41	4	8	0.47998735
42	4	9	0.48060668
43	4	10	0.47964171
44	4	11	0.47306943
