Point	Row	Column	Co_at
1	1	1	0.18643968
2	1	2	0.1985358
3	1	3	0.2126707
4	1	4	0.2286738
5	1	5	0.2437683
6	1	6	0.26046631
7	1	7	0.2752133
8	1	8	0.29042244
9	1	9	0.30319023
10	1	10	0.31356189
11	1	11	0.32111681
12	2	1	0.180914
13	2	2	0.19602562
14	2	3	0.20950601
15	2	4	0.2253288
16	2	5	0.24161163
17	2	6	0.25996563
18	2	7	0.27893719
19	2	8	0.29555669
20	2	9	0.3108398
21	2	10	0.32370365
22	2	11	0.33042341
23	3	1	0.1907445
24	3	2	0.20361333
25	3	3	0.21944641
26	3	4	0.23503582
27	3	5	0.25242671
28	3	6	0.27038029
29	3	7	0.28636941
30	3	8	0.30289206
31	3	9	0.31701821
32	3	10	0.32734561
33	3	11	0.33436957
34	4	1	0.20488232
35	4	2	0.21515051
36	4	3	0.2269488
37	4	4	0.2435486
38	4	5	0.25631297
39	4	6	0.2729243
40	4	7	0.28597346
41	4	8	0.29942119
42	4	9	0.3138698
43	4	10	0.32334247
44	4	11	0.33082011
