Point	Row	Column	_s_FWHM
1	1	1	0.47373834
2	1	2	0.46141541
3	1	3	0.44269061
4	1	4	0.416706
5	1	5	0.3991338
6	1	6	0.37718299
7	1	7	0.35403699
8	1	8	0.33492362
9	1	9	0.31607464
10	1	10	0.29797959
11	1	11	0.28292379
12	2	1	0.4887194
13	2	2	0.47323185
14	2	3	0.4579156
15	2	4	0.43012941
16	2	5	0.41152704
17	2	6	0.38757184
18	2	7	0.35848439
19	2	8	0.33405641
20	2	9	0.3124786
21	2	10	0.29462022
22	2	11	0.27717441
23	3	1	0.47722581
24	3	2	0.46299425
25	3	3	0.44083619
26	3	4	0.41364583
27	3	5	0.3952634
28	3	6	0.37623781
29	3	7	0.34966841
30	3	8	0.33064637
31	3	9	0.3115018
32	3	10	0.2902106
33	3	11	0.27792856
34	4	1	0.44265065
35	4	2	0.429667
36	4	3	0.41227961
37	4	4	0.39717281
38	4	5	0.37908638
39	4	6	0.3638064
40	4	7	0.33958697
41	4	8	0.32703421
42	4	9	0.30662861
43	4	10	0.29294977
44	4	11	0.2733148
