Point	Row	Column	_s_Sigma
1	1	1	0.33924514
2	1	2	0.33968967
3	1	3	0.33077997
4	1	4	0.32692155
5	1	5	0.32085133
6	1	6	0.31497183
7	1	7	0.31243548
8	1	8	0.30283219
9	1	9	0.29348072
10	1	10	0.28932294
11	1	11	0.27754533
12	2	1	0.36471063
13	2	2	0.3642939
14	2	3	0.35841718
15	2	4	0.35893941
16	2	5	0.35229811
17	2	6	0.35109186
18	2	7	0.34519085
19	2	8	0.34087899
20	2	9	0.33153984
21	2	10	0.32128075
22	2	11	0.31465334
23	3	1	0.35835344
24	3	2	0.35863298
25	3	3	0.36675632
26	3	4	0.36017504
27	3	5	0.35524032
28	3	6	0.3567577
29	3	7	0.35597038
30	3	8	0.35186669
31	3	9	0.34953928
32	3	10	0.34866533
33	3	11	0.33484766
34	4	1	0.32824489
35	4	2	0.33094895
36	4	3	0.33732891
37	4	4	0.34360054
38	4	5	0.3424044
39	4	6	0.34701362
40	4	7	0.34452257
41	4	8	0.3434518
42	4	9	0.34627539
43	4	10	0.34658062
44	4	11	0.33928305
