Point	Row	Column	Y_at
1	1	1	0.16962257
2	1	2	0.16984484
3	1	3	0.16538998
4	1	4	0.16346078
5	1	5	0.16042566
6	1	6	0.15748592
7	1	7	0.15621774
8	1	8	0.15141609
9	1	9	0.14674036
10	1	10	0.14466147
11	1	11	0.13877267
12	2	1	0.18235531
13	2	2	0.18214695
14	2	3	0.17920859
15	2	4	0.1794697
16	2	5	0.17614906
17	2	6	0.17554593
18	2	7	0.17259543
19	2	8	0.1704395
20	2	9	0.16576992
21	2	10	0.16064037
22	2	11	0.15732667
23	3	1	0.17917672
24	3	2	0.17931649
25	3	3	0.18337816
26	3	4	0.18008752
27	3	5	0.17762016
28	3	6	0.17837885
29	3	7	0.17798519
30	3	8	0.17593335
31	3	9	0.17476964
32	3	10	0.17433266
33	3	11	0.16742383
34	4	1	0.16412245
35	4	2	0.16547447
36	4	3	0.16866446
37	4	4	0.17180027
38	4	5	0.1712022
39	4	6	0.17350681
40	4	7	0.17226128
41	4	8	0.1717259
42	4	9	0.17313769
43	4	10	0.17329031
44	4	11	0.16964152
