Point	Row	Column	d_um
1	1	1	0.177
2	1	2	0.17753001
3	1	3	0.17381001
4	1	4	0.16744
5	1	5	0.15621001
6	1	6	0.14286
7	1	7	0.12803
8	1	8	0.11323
9	1	9	0.098190002
10	1	10	0.08405
11	1	11	0.071160004
12	2	1	0.21014
13	2	2	0.21225999
14	2	3	0.21244
15	2	4	0.20542
16	2	5	0.19447
17	2	6	0.18084
18	2	7	0.16376001
19	2	8	0.1472
20	2	9	0.12995
21	2	10	0.11225
22	2	11	0.095720001
23	3	1	0.17713
24	3	2	0.18289
25	3	3	0.18385001
26	3	4	0.18109
27	3	5	0.17302001
28	3	6	0.16277
29	3	7	0.14948
30	3	8	0.1349
31	3	9	0.12068
32	3	10	0.1051
33	3	11	0.091349997
34	4	1	0.11517
35	4	2	0.12172
36	4	3	0.12646
37	4	4	0.12921
38	4	5	0.12794
39	4	6	0.12348
40	4	7	0.11686
41	4	8	0.10778
42	4	9	0.098059997
43	4	10	0.087410003
44	4	11	0.077059999
