Point	Row	Column	x_mm
1	1	1	5.4000001
2	1	2	9.3979998
3	1	3	13.396
4	1	4	17.39398
5	1	5	21.392
6	1	6	25.389999
7	1	7	29.388
8	1	8	33.386002
9	1	9	37.386002
10	1	10	41.382011
11	1	11	45.380009
12	2	1	5.4000001
13	2	2	9.3979998
14	2	3	13.396
15	2	4	17.395981
16	2	5	21.392
17	2	6	25.389999
18	2	7	29.388
19	2	8	33.386002
20	2	9	37.383999
21	2	10	41.382011
22	2	11	45.380009
23	3	1	5.4000001
24	3	2	9.3979998
25	3	3	13.396
26	3	4	17.39398
27	3	5	21.392
28	3	6	25.389999
29	3	7	29.388
30	3	8	33.386002
31	3	9	37.386002
32	3	10	41.382011
33	3	11	45.380009
34	4	1	5.4000001
35	4	2	9.3979998
36	4	3	13.396
37	4	4	17.395981
38	4	5	21.393999
39	4	6	25.389999
40	4	7	29.388
41	4	8	33.386002
42	4	9	37.386002
43	4	10	41.382011
44	4	11	45.380009
