Point	Row	Column	_s_MaxIntensity
1	1	1	0.1742091
2	1	2	0.16864301
3	1	3	0.14985573
4	1	4	0.13677177
5	1	5	0.11605328
6	1	6	0.098234646
7	1	7	0.082373559
8	1	8	0.056737065
9	1	9	0.039342497
10	1	10	0.022135725
11	1	11	-0.00077812007
12	2	1	0.20220394
13	2	2	0.20796628
14	2	3	0.19772172
15	2	4	0.20047446
16	2	5	0.19173588
17	2	6	0.18487217
18	2	7	0.17375503
19	2	8	0.15546127
20	2	9	0.13374327
21	2	10	0.1087617
22	2	11	0.089938767
23	3	1	0.20003842
24	3	2	0.20482083
25	3	3	0.20963073
26	3	4	0.20341936
27	3	5	0.19711927
28	3	6	0.19637646
29	3	7	0.19176266
30	3	8	0.18191746
31	3	9	0.17306963
32	3	10	0.16014911
33	3	11	0.13708974
34	4	1	0.12827611
35	4	2	0.12955157
36	4	3	0.14167568
37	4	4	0.15329684
38	4	5	0.16048995
39	4	6	0.17038545
40	4	7	0.18284215
41	4	8	0.18572101
42	4	9	0.18517184
43	4	10	0.18503983
44	4	11	0.17333516
