Point	Row	Column	MaxInt_111
1	1	1	555.50262
2	1	2	428.69522
3	1	3	269.36636
4	1	4	252.20909
5	1	5	218.55251
6	1	6	
7	1	7	
8	1	8	
9	1	9	
10	1	10	
11	1	11	
12	2	1	756.29364
13	2	2	550.72711
14	2	3	436.3804
15	2	4	353.15555
16	2	5	311.79822
17	2	6	269.95224
18	2	7	276.63776
19	2	8	
20	2	9	212.75253
21	2	10	
22	2	11	
23	3	1	402.80698
24	3	2	370.51083
25	3	3	302.935
26	3	4	265.00577
27	3	5	255.43121
28	3	6	230.45538
29	3	7	235.83925
30	3	8	
31	3	9	209.80296
32	3	10	
33	3	11	
34	4	1	
35	4	2	245.66132
36	4	3	224.85217
37	4	4	
38	4	5	
39	4	6	
40	4	7	
41	4	8	
42	4	9	
43	4	10	
44	4	11	
