Point	Row	Column	110_s_Area
1	1	1	0.081471115
2	1	2	0.083506919
3	1	3	0.082995988
4	1	4	0.083608977
5	1	5	0.082026802
6	1	6	0.086979017
7	1	7	0.086346306
8	1	8	0.086609907
9	1	9	0.089216121
10	1	10	0.089169703
11	1	11	0.090318888
12	2	1	0.06678617
13	2	2	0.06836693
14	2	3	0.068419442
15	2	4	0.070743307
16	2	5	0.072458319
17	2	6	0.074332573
18	2	7	0.075153023
19	2	8	0.075007476
20	2	9	0.080288276
21	2	10	0.082917772
22	2	11	0.084964834
23	3	1	0.072402738
24	3	2	0.073588043
25	3	3	0.07423678
26	3	4	0.073283359
27	3	5	0.072027072
28	3	6	0.072945245
29	3	7	0.070938706
30	3	8	0.072514653
31	3	9	0.071233571
32	3	10	0.073456012
33	3	11	0.070258863
34	4	1	0.082833543
35	4	2	0.077497579
36	4	3	0.077071428
37	4	4	0.076878965
38	4	5	0.079293765
39	4	6	0.074638695
40	4	7	0.080902278
41	4	8	0.08103247
42	4	9	0.077943273
43	4	10	0.079074025
44	4	11	0.07839784
