Point	Row	Column	PeakArea_110
1	1	1	15.853845
2	1	2	16.381824
3	1	3	17.41242
4	1	4	16.150936
5	1	5	13.499022
6	1	6	11.079435
7	1	7	8.6269522
8	1	8	8.0499668
9	1	9	8.4397736
10	1	10	9.927413
11	1	11	9.7494259
12	2	1	14.426597
13	2	2	14.907762
14	2	3	14.887437
15	2	4	14.369644
16	2	5	13.720257
17	2	6	13.044181
18	2	7	12.749071
19	2	8	12.765418
20	2	9	12.353938
21	2	10	11.708913
22	2	11	11.33712
23	3	1	15.705313
24	3	2	15.713822
25	3	3	14.99316
26	3	4	14.258132
27	3	5	13.449927
28	3	6	13.067409
29	3	7	11.894416
30	3	8	11.830217
31	3	9	11.578208
32	3	10	11.996642
33	3	11	10.680347
34	4	1	17.673141
35	4	2	17.543341
36	4	3	16.076591
37	4	4	13.582398
38	4	5	12.212487
39	4	6	11.21724
40	4	7	10.087774
41	4	8	10.698396
42	4	9	11.402907
43	4	10	11.679206
44	4	11	12.046509
