Point	Row	Column	Fe_at
1	1	1	0.0114225
2	1	2	0.0096436003
3	1	3	0.0087543
4	1	4	0.0082004992
5	1	5	0.0077551999
6	1	6	0.0059219007
7	1	7	0.0056045
8	1	8	0.0043958002
9	1	9	0.0051023006
10	1	10	0.0076205009
11	1	11	0.016729899
12	2	1	0.011350801
13	2	2	0.0103099
14	2	3	0.0086743999
15	2	4	0.0076048998
16	2	5	0.0060786004
17	2	6	0.0053543998
18	2	7	0.0046748007
19	2	8	0.0042723999
20	2	9	0.0039413995
21	2	10	0.0057661007
22	2	11	0.010887701
23	3	1	0.011546599
24	3	2	0.0090445988
25	3	3	0.0076162009
26	3	4	0.0068083005
27	3	5	0.0059593995
28	3	6	0.0046552001
29	3	7	0.0044500995
30	3	8	0.0038767001
31	3	9	0.0035323999
32	3	10	0.0065253992
33	3	11	0.0106121
34	4	1	0.010840002
35	4	2	0.0095407004
36	4	3	0.008794101
37	4	4	0.0080302004
38	4	5	0.0063625998
39	4	6	0.0049875998
40	4	7	0.0042530005
41	4	8	0.0043846997
42	4	9	0.0043808999
43	4	10	0.0074507007
44	4	11	0.0132882
