Point	Row	Column	Co_at
1	1	1	0.30886239
2	1	2	0.3160291
3	1	3	0.32959199
4	1	4	0.33971816
5	1	5	0.348171
6	1	6	0.36201704
7	1	7	0.3701179
8	1	8	0.37987161
9	1	9	0.38595223
10	1	10	0.39298654
11	1	11	0.39649665
12	2	1	0.30668923
13	2	2	0.31677681
14	2	3	0.32991701
15	2	4	0.34064659
16	2	5	0.35264724
17	2	6	0.36464569
18	2	7	0.37494794
19	2	8	0.3846103
20	2	9	0.39331305
21	2	10	0.39817244
22	2	11	0.40363753
23	3	1	0.31148428
24	3	2	0.32547918
25	3	3	0.33610803
26	3	4	0.34683633
27	3	5	0.35792696
28	3	6	0.37022349
29	3	7	0.37969637
30	3	8	0.3878653
31	3	9	0.3964349
32	3	10	0.40235487
33	3	11	0.4041591
34	4	1	0.32011223
35	4	2	0.33328059
36	4	3	0.34488684
37	4	4	0.35311091
38	4	5	0.3616716
39	4	6	0.3713941
40	4	7	0.37932473
41	4	8	0.38874257
42	4	9	0.39381599
43	4	10	0.40105644
44	4	11	0.405231
