Point	Row	Column	a_Ang
1	1	1	4.1334643
2	1	2	4.1293273
3	1	3	4.1235032
4	1	4	4.1187682
5	1	5	4.1145773
6	1	6	4.1094403
7	1	7	4.1054964
8	1	8	4.1035318
9	1	9	4.1017442
10	1	10	4.1021967
11	1	11	4.1043859
12	2	1	4.1308188
13	2	2	4.1240988
14	2	3	4.11621
15	2	4	4.11129
16	2	5	4.1082001
17	2	6	4.104178
18	2	7	4.1040568
19	2	8	4.1022177
20	2	9	4.102982
21	2	10	4.1021504
22	2	11	4.0991197
23	3	1	4.1326094
24	3	2	4.1253805
25	3	3	4.1178584
26	3	4	4.1122723
27	3	5	4.1093078
28	3	6	4.1059465
29	3	7	4.1034951
30	3	8	4.1022048
31	3	9	4.1021008
32	3	10	4.1027222
33	3	11	4.1010685
34	4	1	4.1282916
35	4	2	4.1232982
36	4	3	4.1194201
37	4	4	4.1168394
38	4	5	4.1146345
39	4	6	4.1123204
40	4	7	4.1128755
41	4	8	4.1089897
42	4	9	4.1121888
43	4	10	4.1139698
44	4	11	4.1125021
