Point	Row	Column	PeakArea_110
1	1	1	11.088838
2	1	2	10.704736
3	1	3	10.607604
4	1	4	10.256149
5	1	5	9.9392204
6	1	6	9.6030035
7	1	7	9.5023088
8	1	8	9.0662394
9	1	9	8.85923
10	1	10	8.8806973
11	1	11	8.9995728
12	2	1	11.193641
13	2	2	10.839896
14	2	3	10.34956
15	2	4	10.341696
16	2	5	10.276201
17	2	6	9.8561907
18	2	7	9.9656248
19	2	8	9.9544306
20	2	9	9.7450953
21	2	10	9.4398785
22	2	11	9.0755358
23	3	1	11.220729
24	3	2	11.134015
25	3	3	10.717904
26	3	4	10.500487
27	3	5	10.271344
28	3	6	9.9318123
29	3	7	9.7006111
30	3	8	9.7909594
31	3	9	9.9163532
32	3	10	10.058635
33	3	11	9.5744324
34	4	1	10.834497
35	4	2	10.978321
36	4	3	11.110324
37	4	4	10.800008
38	4	5	10.370336
39	4	6	10.559695
40	4	7	10.883322
41	4	8	10.737032
42	4	9	10.414676
43	4	10	9.7939987
44	4	11	9.6103048
