Point	Row	Column	_s_MaxIntensity
1	1	1	0.045430399
2	1	2	0.049454398
3	1	3	0.046575401
4	1	4	0.040350094
5	1	5	0.044196401
6	1	6	0.039502703
7	1	7	0.037054799
8	1	8	0.035563201
9	1	9	0.030305304
10	1	10	0.034737505
11	1	11	0.039894495
12	2	1	0.058607105
13	2	2	0.062354799
14	2	3	0.0586426
15	2	4	0.054173
16	2	5	0.053990304
17	2	6	0.050758202
18	2	7	0.053257104
19	2	8	0.044884399
20	2	9	0.042289294
21	2	10	0.045286104
22	2	11	0.043371104
23	3	1	0.055855695
24	3	2	0.056690093
25	3	3	0.055781506
26	3	4	0.054157306
27	3	5	0.049592096
28	3	6	0.0476932
29	3	7	0.048225094
30	3	8	0.044124
31	3	9	0.045888599
32	3	10	0.046254296
33	3	11	0.049040802
34	4	1	0.043355104
35	4	2	0.047857199
36	4	3	0.040749505
37	4	4	0.044352401
38	4	5	0.045345601
39	4	6	0.037781399
40	4	7	0.034748502
41	4	8	0.041032694
42	4	9	0.033599202
43	4	10	0.040478304
44	4	11	0.0457468
