Point	Row	Column	Zr_at
1	1	1	0.1541236
2	1	2	0.1493724
3	1	3	0.1434003
4	1	4	0.13346939
5	1	5	0.1302958
6	1	6	0.12194401
7	1	7	0.1161915
8	1	8	0.1106071
9	1	9	0.10277011
10	1	10	0.098267511
11	1	11	0.090469889
12	2	1	0.16059062
13	2	2	0.1552626
14	2	3	0.1465461
15	2	4	0.1380039
16	2	5	0.13036881
17	2	6	0.1230692
18	2	7	0.11691801
19	2	8	0.1098558
20	2	9	0.10331399
21	2	10	0.098645113
22	2	11	0.092029206
23	3	1	0.15497598
24	3	2	0.14689769
25	3	3	0.14184402
26	3	4	0.13392191
27	3	5	0.12724979
28	3	6	0.1176788
29	3	7	0.11093789
30	3	8	0.1054444
31	3	9	0.1033723
32	3	10	0.098643787
33	3	11	0.092918701
34	4	1	0.14359102
35	4	2	0.14025471
36	4	3	0.12949601
37	4	4	0.126752
38	4	5	0.1215921
39	4	6	0.1145722
40	4	7	0.10798531
41	4	8	0.10406459
42	4	9	0.095977902
43	4	10	0.09434291
44	4	11	0.088116601
