Point	Row	Column	_s_FWHM
1	1	1	0.30824721
2	1	2	0.2987448
3	1	3	0.28680059
4	1	4	0.26693878
5	1	5	0.2605916
6	1	6	0.24388802
7	1	7	0.232383
8	1	8	0.22121421
9	1	9	0.20554022
10	1	10	0.19653502
11	1	11	0.18093978
12	2	1	0.32118124
13	2	2	0.31052521
14	2	3	0.29309219
15	2	4	0.2760078
16	2	5	0.26073763
17	2	6	0.24613839
18	2	7	0.23383602
19	2	8	0.2197116
20	2	9	0.20662798
21	2	10	0.19729023
22	2	11	0.18405841
23	3	1	0.30995196
24	3	2	0.29379538
25	3	3	0.28368804
26	3	4	0.26784381
27	3	5	0.25449958
28	3	6	0.2353576
29	3	7	0.22187577
30	3	8	0.2108888
31	3	9	0.2067446
32	3	10	0.19728757
33	3	11	0.1858374
34	4	1	0.28718203
35	4	2	0.28050941
36	4	3	0.25899202
37	4	4	0.25350401
38	4	5	0.24318419
39	4	6	0.22914439
40	4	7	0.21597062
41	4	8	0.20812918
42	4	9	0.1919558
43	4	10	0.18868582
44	4	11	0.1762332
