Point	Row	Column	Norm_d
1	1	1	0.19525844
2	1	2	0.2930963
3	1	3	0.37332004
4	1	4	0.44878557
5	1	5	0.51298112
6	1	6	0.53885955
7	1	7	0.56173307
8	1	8	0.5539695
9	1	9	0.53234816
10	1	10	0.47892135
11	1	11	0.41681296
12	2	1	0.38759488
13	2	2	0.50780535
14	2	3	0.63694805
15	2	4	0.7595793
16	2	5	0.8578344
17	2	6	0.93204778
18	2	7	0.98564136
19	2	8	1
20	2	9	0.97195113
21	2	10	0.92344922
22	2	11	0.82511044
23	3	1	0.29927391
24	3	2	0.41480944
25	3	3	0.54987884
26	3	4	0.67117441
27	3	5	0.77777797
28	3	6	0.86910427
29	3	7	0.93663931
30	3	8	0.9721179
31	3	9	0.96218383
32	3	10	0.90992588
33	3	11	0.85157359
34	4	1	0
35	4	2	0.075215042
36	4	3	0.16186658
37	4	4	0.24275823
38	4	5	0.32807419
39	4	6	0.38934809
40	4	7	0.44427741
41	4	8	0.47324502
42	4	9	0.48618421
43	4	10	0.46990559
44	4	11	0.43651396
