FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Film thickness ($\mu$m),PROPERTY: Area of 110 peak,IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.83456Co0.29657Fe0.51269Y0.0Zr0.19073O3,01251,1,1,1,0.18859001,18.48082,5.4000001,44.141998,0.890004734856576,2.1500114381366724,1.490007926894717,137.3277305883697,1.7494451999999998,1.413767,0.8289606416666666,63.50814421115,0.8345555601113687,0.5087354178665191,1.5207678762742887,1.7974410991322605,2.1623640919467984,22_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.82794Co0.31179Fe0.49969Y0.0Zr0.18852O3,01251,2,1,2,0.19774,17.679792000000003,9.397999800000001,44.141998,0.8900050716503138,2.150012251739522,1.490008490740413,137.3277825556434,1.7513295,1.4126885,0.8276715750000001,63.47751739905,0.8279352820244574,0.5081882487848882,1.5219294640959573,1.8002412258031366,2.1634082141608557,22_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.83125Co0.3297Fe0.48586Y0.0Zr0.18444O3,01251,3,1,3,0.20343,17.190037,13.39599,44.141998,0.8900045049122355,2.1500108826531528,1.49000754193172,137.32769510795794,1.754265,1.411181,0.82613355,63.3884806515,0.8312457924838863,0.5073375487239588,1.523554301434864,1.8035916129198724,2.166445601732659,22_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.82897Co0.34765Fe0.4712Y0.0Zr0.18115O3,01251,4,1,4,0.20661999,16.852201,17.39397,44.141998,0.8900027642499897,2.1500066776825593,1.4900046277893084,137.3274265237734,1.7568075,1.4097899999999999,0.8245980833333333,63.327516841750004,0.8289674253110147,0.5066023250982191,1.5250545667670783,1.8069465087356904,2.1685269433024317,22_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.83405Co0.37013Fe0.45476Y0.0Zr0.17511O3,01251,5,1,5,0.20533,16.75149,21.391991,44.141998,0.8899986840157625,2.149996820936954,1.4899977968353777,137.32679694363216,1.7609515,1.4077600000000001,0.8226607166666667,63.18325030534999,0.8340512332564901,0.5054078343530544,1.5272467046491973,1.8111935657663216,2.1734683841043885,22_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.84046Co0.39201Fe0.43988Y0.0Zr0.16811O3,01251,6,1,6,0.20002,17.71595,25.389971,44.141998,0.8899987723186241,2.149997034252856,1.4899979446682583,137.3268105687637,1.7655455,1.4056160000000002,0.82076665,63.00316701195,0.8404611593466432,0.5040927986951478,1.5295763809268361,1.8153734007933415,2.179681071313709,22_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.8393Co0.41114Fe0.42277Y0.0Zr0.16609O3,01251,7,1,7,0.19292,18.012167,29.389971000000003,44.141998,0.8900032624045326,2.1500078810896013,1.490005461778375,137.3275033890194,1.767512,1.4043565,0.8191413916666667,62.9907786023,0.8392969234538346,0.5035344950441822,1.5309559083392297,1.8189844597484375,2.1801207484043568,22_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.83532Co0.43034Fe0.40616Y0.0Zr0.1635O3,01251,8,1,8,0.18203001,18.525157999999998,33.385979,44.141998,0.8899973733253801,2.1499936546624347,1.4899956025335015,137.32659470410616,1.769767,1.403008,0.8175059666666668,62.958440336299994,0.8353224653037292,0.5028895743481374,1.5324172454201506,1.822611287607933,2.181226122670127,22_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.83065Co0.44472Fe0.38723Y0.0Zr0.16805O3,01251,9,1,9,0.17112,19.937223,37.383990999999995,44.141998,0.8899948948452581,2.149987667322814,1.489991453167904,137.32621227462332,1.768211,1.4029715,0.816329775,63.1638230304,0.8306547647428215,0.5033307081820315,1.5324528454945907,1.8252322759731554,2.1741276206243856,22_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
Ba0.82569Co0.45922Fe0.37829Y0.0Zr0.1625O3,01251,10,1,10,0.15807000000000002,21.391823000000002,41.381989000000004,44.141998,0.8900012522460948,2.1500030250888806,1.4900020964569451,137.32719322157243,1.7717293,1.4014280000000001,0.8150762583333335,63.0128068579,0.8256888382408728,0.5023347823203549,1.5341516118479726,1.8280523831030224,2.179353691246584,22_May_2017,Pulsed Laser Deposition,BZF19/ BZC19,700.0,19.2,850,N,400.0,20,1.0,ITO/EXG,26,0,48,0,0,0,0,37.0,180,0,0,0,0,0,0
