FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Film thickness ($\mu$m),PROPERTY: Area of 110 peak,IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.79425Co0.87633Fe0.0Y0.0Zr0.12367O3,01199,1,1,1,0.17565999999999998,16.358253,5.4000001,44.144001,0.8900006701380289,2.150001618872766,1.4900011219164753,137.32710340229784,1.8119815,1.3747340000000001,0.7796697500000002,62.926598854350004,0.7942494019587318,0.49117536251779,1.5639400923180526,1.9110669894740369,2.1823379286739355,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19,600,N,300.0,10,10.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.79607Co0.87569Fe0.0Y0.0Zr0.12431O3,01199,2,1,2,0.17964000000000002,9.564744000000001,9.397999800000001,44.144001,0.8900044914839289,2.1500108502139854,1.4900075194506226,137.32769303597024,1.8116294999999998,1.374862,0.7797284166666667,62.94726496955,0.7960659825645314,0.49127290733780227,1.563801203476411,1.9109314058610225,2.1816308159282363,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19,600,N,300.0,10,10.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.79786Co0.88416Fe0.0Y0.0Zr0.11584O3,01199,3,1,3,0.17914000000000002,,13.395999999999999,44.144001,0.8900047212634077,2.150011405299243,1.490007904137615,137.3277284909438,1.816288,1.373168,0.7789520000000001,62.6737618512,0.797855767542427,0.4900129942296639,1.565730781156598,1.9128366114184376,2.1911518382602786,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19,600,N,300.0,10,10.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.79872Co0.87859Fe0.0Y0.0Zr0.12141O3,01199,4,1,4,0.17842001,,17.39398,44.144001,0.8900029979830439,2.150007242318589,1.4900050190952083,137.32746258878367,1.8132244999999998,1.374282,0.7794625833333334,62.85362163505,0.7987173095045497,0.4908399362478524,1.5644585625938412,1.911579915386413,2.184877482257979,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19,600,N,300.0,10,10.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.80764Co0.89112Fe0.0Y0.0Zr0.10888O3,01199,5,1,5,0.171,,21.392,44.144001,0.8899961001244863,2.1499905789524107,1.4899934709949265,137.32639824920824,1.820116,1.371776,0.7783140000000001,62.4490178484,0.8076435389991703,0.48897768061183255,1.5673044133680796,1.9143860588334867,2.1990161411758162,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19,600,N,300.0,10,10.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.79849Co0.8884Fe0.0Y0.0Zr0.1116O3,01199,6,1,6,0.16005,,25.389999,44.144001,0.8900055332632711,2.150013366871947,1.4900092635531168,137.32785378252274,1.81862,1.3723200000000002,0.7785633333333335,62.536848838,0.7984850356989657,0.4893851014853412,1.5666997251894212,1.9137932647994167,2.1959509686563643,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19,600,N,300.0,10,10.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.81614Co0.8867Fe0.0Y0.0Zr0.1133O3,01199,7,1,7,0.14911,,29.388,44.144001,0.8900033148737159,2.150008007840999,1.4900055496200413,137.32751148501436,1.817685,1.3726600000000002,0.7787191666666669,62.5917432065,0.8161369602348786,0.4896356161126465,1.566307758542537,1.9134055169054838,2.1940196014664317,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19,600,N,300.0,10,10.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.8301Co0.89676Fe0.0Y0.0Zr0.10324O3,01199,8,1,8,0.13422,,33.386002000000005,44.144001,0.8900027775603109,2.150006709836706,1.49000465007288,137.32742857755596,1.823218,1.370648,0.7777970000000001,62.2668977082,0.8300974093869454,0.48814940262783213,1.5686060241846966,1.9156729198915396,2.2054644382816453,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19,600,N,300.0,10,10.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.83815Co0.89498Fe0.0Y0.0Zr0.10502O3,01199,9,1,9,0.11997000000000001,,37.383998999999996,44.144001,0.8900001443333105,2.1500003486703565,1.4900002416366658,137.3270222706298,1.822239,1.3710040000000001,0.7779601666666668,62.3243753411,0.8381498640753431,0.4884102164059218,1.5681940743209768,1.915265466638072,2.2034239656481414,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19,600,N,300.0,10,10.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
Ba0.84492Co0.89188Fe0.0Y0.0Zr0.10812O3,01199,10,1,10,0.10684,,41.382011,44.144001,0.8899965306121557,2.1499916188945334,1.4899941916990023,137.3264646734556,1.8205339999999999,1.3716240000000002,0.7782443333333333,62.4244768366,0.8449232936703421,0.4888656463500026,1.5674788563735638,1.914558356393218,2.1998817071854084,27_Oct_2016,Pulsed Laser Deposition,BZC19,400.0,19,600,N,300.0,10,10.0,SiO2,103,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0
