FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant (A),PROPERTY: Film thickness ($\mu$m),PROPERTY: FWHM of 110 peak ($^{\circ}$),PROPERTY: FWHM of 111 peak ($^{\circ}$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Area of 110 peak,PROPERTY: Position of 110 peak ($^{\circ}$),PROPERTY: Position of 111 peak ($^{\circ}$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba1.0Co0.0Fe0.09201Y0.23934Zr0.61554O3,01138,1,1,1,4.210563700000001,0.063680001,0.57723898,0.3559373,806.44824,208.88982,6.4937309999999995,29.976625,36.863762,5.4000001,44.144009000000004,0.89,2.15,1.49,137.327,1.3507698731126587,1.5986019504913422,0.9047611455296775,87.19951355695557,1.056079950751128,0.6588835135544743,1.3449251699831728,1.6468434872141908,1.5748597027471143,24_June_2016,Pulsed Laser Deposition,BZYF631,400.0,21.9,850,N,200.0,10,50.0,SiO2,0,0,0,0,0,124,0,124.0,0,0,0,0,0,0,0
Ba1.0Co0.0Fe0.08595Y0.24995Zr0.60536O3,01138,2,1,2,4.2111472999999995,0.06261,0.60295373,,627.21442,,5.4586277,29.972374,,9.397999800000001,44.144009000000004,0.89,2.15,1.49,137.327,1.3464499732771147,1.6026940602948396,0.9071161338148945,87.37805004119468,1.0624083955531012,0.6609974508253251,1.3414912136159507,1.6425680731019259,1.5716418475264293,24_June_2016,Pulsed Laser Deposition,BZYF631,400.0,21.9,850,N,200.0,10,50.0,SiO2,0,0,0,0,0,124,0,124.0,0,0,0,0,0,0,0
Ba1.0Co0.0Fe0.08508Y0.25948Zr0.61057O3,01138,3,1,3,4.2367029,0.062089998,0.83166677,,314.72235,,,29.787384000000003,,13.39599,44.144009000000004,0.89,2.15,1.49,137.327,1.3446441453193874,1.6045432591365716,0.9082253229908,87.4420874629831,1.0469696342207735,0.6618851560823941,1.3399451761474768,1.6405620524798923,1.570490869835818,24_June_2016,Pulsed Laser Deposition,BZYF631,400.0,21.9,850,N,200.0,10,50.0,SiO2,0,0,0,0,0,124,0,124.0,0,0,0,0,0,0,0
Ba1.0Co0.0Fe0.08711Y0.23719Zr0.60702O3,01138,4,1,4,4.2157183,0.059349999,0.64957339,,485.47253,,4.5310678,29.939116,,17.393998999999997,44.144009000000004,0.89,2.15,1.49,137.327,1.3487382372038554,1.5996239887065284,0.9051319435564341,87.3235836672433,1.0737338465465156,0.6598760051803,1.3440658649652477,1.6461688382640756,1.5726221283279045,24_June_2016,Pulsed Laser Deposition,BZYF631,400.0,21.9,850,N,200.0,10,50.0,SiO2,0,0,0,0,0,124,0,124.0,0,0,0,0,0,0,0
Ba1.0Co0.0Fe0.08274Y0.23112Zr0.58908O3,01138,5,1,5,4.2117362,0.05579,0.53981602,,683.63757,,6.7080216,29.968084,,21.391991,44.144009000000004,0.89,2.15,1.49,137.327,1.3476585297229202,1.6002429609382367,0.9053845960713487,87.38855975869737,1.107491290860734,0.6604046799473638,1.3435459817548179,1.6457094658617109,1.5714528352360504,24_June_2016,Pulsed Laser Deposition,BZYF631,400.0,21.9,850,N,200.0,10,50.0,SiO2,0,0,0,0,0,124,0,124.0,0,0,0,0,0,0,0
Ba1.0Co0.0Fe0.08911Y0.25982Zr0.5919O3,01138,6,1,6,4.2121701,0.05220999900000001,0.68926585,,598.85925,,6.0003557,29.964924,,25.389999,44.144009000000004,0.89,2.15,1.49,137.327,1.3469663745587162,1.604817357686862,0.9089896761525003,87.23207513946865,1.0628809389431986,0.6607440369783364,1.339716317063612,1.6391825331908656,1.5742718464560017,24_June_2016,Pulsed Laser Deposition,BZYF631,400.0,21.9,850,N,200.0,10,50.0,SiO2,0,0,0,0,0,124,0,124.0,0,0,0,0,0,0,0
Ba1.0Co0.0Fe0.09246Y0.23379Zr0.60028O3,01138,7,1,7,4.211347099999999,0.047660000999999994,0.61308986,,515.25769,,5.575006500000001,29.970919,,29.389999,44.144009000000004,0.89,2.15,1.49,137.327,1.3521294314568801,1.5981012494897042,0.9046638337833155,87.1078723022074,1.0792876676502359,0.658221009982048,1.3453465484033158,1.6470206328120816,1.5765165233696106,24_June_2016,Pulsed Laser Deposition,BZYF631,400.0,21.9,850,N,200.0,10,50.0,SiO2,0,0,0,0,0,124,0,124.0,0,0,0,0,0,0,0
Ba1.0Co0.0Fe0.08373Y0.24189Zr0.57083O3,01138,8,1,8,4.2195926,0.04213000099999999,0.62777948,,470.59933,,5.8819256,29.910984000000003,,33.386009,44.144009000000004,0.89,2.15,1.49,137.327,1.347022817453396,1.6034514771631536,0.9078713259219334,87.29424791951277,1.1155139587217107,0.6607163505088822,1.3408575380178056,1.641201740221194,1.5731506172848702,24_June_2016,Pulsed Laser Deposition,BZYF631,400.0,21.9,850,N,200.0,10,50.0,SiO2,0,0,0,0,0,124,0,124.0,0,0,0,0,0,0,0
Ba1.0Co0.0Fe0.10368Y0.21999Zr0.57729O3,01138,9,1,9,4.2127385,0.037289999,0.81654859,,369.11922999999996,,4.9116015,29.960784999999998,,37.384009999999996,44.144009000000004,0.89,2.15,1.49,137.327,1.3606688910057927,1.5937690794816408,0.9030809262390878,86.5859705712808,1.1099184464194483,0.6540900625295556,1.3490034583299033,1.6499075074092833,1.5860190639885163,24_June_2016,Pulsed Laser Deposition,BZYF631,400.0,21.9,850,N,200.0,10,50.0,SiO2,0,0,0,0,0,124,0,124.0,0,0,0,0,0,0,0
Ba1.0Co0.0Fe0.12118Y0.22616Zr0.5841O3,01138,10,1,10,4.220211,0.032809999,0.97538501,,310.76016,,,29.906498,,41.381989000000004,44.144009000000004,0.89,2.15,1.49,137.327,1.3683247777388636,1.5911678267798055,0.9027187393808207,86.05731825856377,1.0735936810931859,0.6504303762376589,1.3512088189661018,1.650569479727427,1.5957620197667997,24_June_2016,Pulsed Laser Deposition,BZYF631,400.0,21.9,850,N,200.0,10,50.0,SiO2,0,0,0,0,0,124,0,124.0,0,0,0,0,0,0,0
