FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant (A),PROPERTY: Film thickness ($\mu$m),PROPERTY: FWHM of 110 peak ($^{\circ}$),PROPERTY: FWHM of 111 peak ($^{\circ}$),PROPERTY: FWHM of 200 peak ($^{\circ}$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Max intensity of 200 peak (counts),PROPERTY: Area of 110 peak,PROPERTY: Position of 110 peak ($^{\circ}$),PROPERTY: Position of 111 peak ($^{\circ}$),PROPERTY: Position of 200 peak ($^{\circ}$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.8304Co0.22011Fe0.3092Y0.06515Zr0.40554O3,01187,1,1,1,4.1256322999999995,0.10568,0.47629696,0.51577193,,2820.2502,472.7359,,14.988413000000001,30.608677,37.746223,,5.4000001,44.14201,0.8900004656276539,2.1500011248308493,1.4900007795339374,137.327071846347,1.598494,1.4758855,0.8492312500000001,73.02625663895,0.8303995655539309,0.5567743548788133,1.4567533354253086,1.7545289101572006,1.8805163809136134,7_Oct_2016,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,600.0,,850,N,345.0,10,1.0,SiO2,8,22,32,0,0,21,0,20.75,0,90,270,0,0,180,0
Ba0.81328Co0.19322Fe0.32519Y0.06161Zr0.41998O3,01187,2,1,2,4.1302567,0.12230999999999999,0.47810167,0.5451501,,3074.248,493.93228,,14.469387,30.573565999999996,37.696957,,9.397999800000001,44.14201,0.889996727718179,2.1499920950495333,1.4899945216854906,137.326495086915,1.5920888999999998,1.47798,0.8509390416666667,73.33705242639999,0.8132829902147688,0.5590119544946134,1.454682806972715,1.7510003052241636,1.8725390582711774,7_Oct_2016,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,600.0,,850,N,345.0,10,1.0,SiO2,8,22,32,0,0,21,0,20.75,0,90,270,0,0,180,0
Ba0.802Co0.16387Fe0.34329Y0.06418Zr0.42866O3,01187,3,1,3,4.1356945,0.13785,0.46729878,0.49390662,,3217.4583,602.05042,,13.146359,30.532387,37.663025,,13.395999999999999,44.14201,0.8899983650379442,2.149996050372562,1.4899972628163336,137.32674772535478,1.5847137,1.4817774999999997,0.8539563083333332,73.63847000765,0.8020014733055928,0.561614609022402,1.4509574145730801,1.7448167409458708,1.864877797041254,7_Oct_2016,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,600.0,,850,N,345.0,10,1.0,SiO2,8,22,32,0,0,21,0,20.75,0,90,270,0,0,180,0
Ba0.79986Co0.14174Fe0.36047Y0.06346Zr0.43433O3,01187,4,1,4,4.1398215,0.15103,0.4951978,0.43329561,,3171.9651,763.8819,,12.746502,30.501210999999998,37.601131,,17.39398,44.14201,0.8899993915735641,2.1499985302058007,1.4899989813984387,137.32690611980092,1.5812114,1.4834465,0.8557264416666667,73.74692337030001,0.7998605468048334,0.5628592050206342,1.4493266391513282,1.7412094670072633,1.8621374268083215,7_Oct_2016,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,600.0,,850,N,345.0,10,1.0,SiO2,8,22,32,0,0,21,0,20.75,0,90,270,0,0,180,0
Ba0.79645Co0.12506Fe0.37219Y0.06449Zr0.43826O3,01187,5,1,5,4.1420856,0.15938,0.49560878,0.41342399,,3173.1477,815.02063,,12.24842,30.484133,37.566483000000005,,21.392,44.14201,0.890004303189762,2.150010395346054,1.4900072042165677,137.32766398218027,1.5777841000000001,1.485282,0.8573529416666668,73.8685044232,0.7964461491472865,0.5640849741037205,1.4475435609844152,1.7379157775093665,1.8590827722112315,7_Oct_2016,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,600.0,,850,N,345.0,10,1.0,SiO2,8,22,32,0,0,21,0,20.75,0,90,270,0,0,180,0
Ba0.7888Co0.11426Fe0.37774Y0.06794Zr0.44006O3,01187,6,1,6,4.143426399999999,0.16119,0.49773409999999996,0.39858459999999996,,3165.9768,890.23901,,12.206307,30.474028000000004,37.563725,,25.389999,44.14201,0.8900043783777589,2.1500105769799793,1.490007330093102,137.3276755836882,1.5742396000000003,1.487472,0.8589223166666666,74.01289404970001,0.7887961194973192,0.56535509485199,1.445412469599414,1.7347405011847525,1.8554560978452217,7_Oct_2016,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,600.0,,850,N,345.0,10,1.0,SiO2,8,22,32,0,0,21,0,20.75,0,90,270,0,0,180,0
Ba0.77973Co0.10737Fe0.37544Y0.07182Zr0.44537O3,01187,7,1,7,4.1433816,0.15625,0.48764336,0.38143998,,3196.2068,831.8706099999999,,12.037663,30.474366999999997,37.564964,,29.388,44.14201,0.8899980323312141,2.1499952466428205,1.4899967058129315,137.32669638870632,1.5688733,1.4901649999999997,0.8602695499999999,74.30775497414999,0.7797317238806455,0.5672848357679452,1.4427900579082322,1.732011444335013,1.848080276903524,7_Oct_2016,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,600.0,,850,N,345.0,10,1.0,SiO2,8,22,32,0,0,21,0,20.75,0,90,270,0,0,180,0
Ba0.7799Co0.10486Fe0.35816Y0.07671Zr0.46027O3,01187,8,1,8,4.1425352,0.14697000000000002,0.46953088,0.41869381,0.84068632,3264.6587,618.05695,219.42557000000002,12.493497,30.480745000000002,37.597931,43.555149,33.386002000000005,44.14201,0.8899958125961412,2.1499898843614647,1.4899929896272477,137.32635388358457,1.5583149,1.4944815,0.8615094333333333,74.98881826120001,0.7799036694063313,0.5711270633401125,1.4386192698681546,1.7295144219863035,1.8312910786945773,7_Oct_2016,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,600.0,,850,N,345.0,10,1.0,SiO2,8,22,32,0,0,21,0,20.75,0,90,270,0,0,180,0
Ba0.77094Co0.10378Fe0.34227Y0.08285Zr0.47111O3,01187,9,1,9,4.1378392999999996,0.13343,0.47398019,0.48804122,0.80990088,3172.5398,562.19934,217.85895,13.682445999999999,30.516176,37.641312,43.653431,37.383998999999996,44.14201,0.8899951840144983,2.1499883658777206,1.4899919372826993,137.32625689343706,1.5491138,1.4986315,0.8628414083333333,75.5725434396,0.7709441717482627,0.5745189178577444,1.4346344420744663,1.7268433374804897,1.8171448338667153,7_Oct_2016,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,600.0,,850,N,345.0,10,1.0,SiO2,8,22,32,0,0,21,0,20.75,0,90,270,0,0,180,0
Ba0.76918Co0.10055Fe0.32119Y0.0915Zr0.48677O3,01187,10,1,10,4.1309237,0.11979000000000001,0.46481335,0.46370125,,3124.676,516.8927,,14.480273,30.568508,37.698807,,41.383998999999996,44.14201,0.8899977833690966,2.1499946452174803,1.4899962890111842,137.3266579738516,1.5358458,1.5046020000000002,0.8648525916666667,76.40258006225,0.7691819157218031,0.5794838149566165,1.428945757893104,1.722832657690019,1.797408645911734,7_Oct_2016,Pulsed Laser Deposition,BZC91/ BZYF631/ BZF19/ BZC19,600.0,,850,N,345.0,10,1.0,SiO2,8,22,32,0,0,21,0,20.75,0,90,270,0,0,180,0
