FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Film thickness ($\mu$m),PROPERTY: Area of 110 peak,IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.75759Co0.0Fe0.0Y0.18202Zr0.81798O3,01300,11,1,11,0.38756999,,45.37999,44.141998,0.8899993950545803,2.149998538614997,1.4899989872262074,137.32690665692172,1.3099778000000002,1.5955050000000002,0.8927636000000001,90.80205033700001,0.757590514944845,0.6794003646890658,1.3475348172616175,1.6689737207321258,1.5123767155835222,29_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.9,800,N,200.0,10,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba0.7502Co0.0Fe0.0Y0.18378Zr0.81622O3,01300,12,2,1,0.45754999,,5.4000001,31.643998999999997,0.8900026427831539,2.150006384251439,1.4900044244347184,137.32740778144066,1.3097842,1.595945,0.8930803999999999,90.797970393,0.7501977723482754,0.6795032668611776,1.347168219613733,1.6683877783396865,1.5124501923010805,29_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.9,800,N,200.0,10,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba0.74683Co0.0Fe0.0Y0.18395Zr0.81605O3,01300,13,2,2,0.50023001,,9.397999800000001,31.643998999999997,0.889999520414358,2.1499988414504156,1.489999197098195,137.32692599993544,1.3097655000000001,1.5959875000000001,0.8931110000000001,90.79757630750001,0.7468304024372336,0.6795105844629118,1.3471276193895099,1.6683247626534605,1.5124514506296578,29_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.9,800,N,200.0,10,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba0.73618Co0.0Fe0.0Y0.18541Zr0.81459O3,01300,14,2,3,0.53687,,13.39599,31.643998999999997,0.8899980495588274,2.149995288260089,1.489996734654666,137.32669904692708,1.3096049,1.5963525,0.8933738,90.7941918085,0.7361816133471114,0.679592791351672,1.3468173779037453,1.667831242257906,1.5125053300388624,29_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.9,800,N,200.0,10,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba0.73486Co0.0Fe0.0Y0.18689Zr0.81311O3,01300,15,2,4,0.56641001,,17.39397,31.643998999999997,0.8900011373386124,2.150002747503389,1.4900019040837442,137.32717549134787,1.3094421,1.5967225,0.8936402,90.7907609465,0.7348590609173207,0.6796796416875648,1.3465099586831082,1.6673398355218847,1.5125677333211278,29_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.9,800,N,200.0,10,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba0.73752Co0.0Fe0.0Y0.18678Zr0.81322O3,01300,16,2,5,0.58767998,,21.391991,31.643998999999997,0.890003411787174,2.1500082419577797,1.490005711868415,137.32752643876094,1.3094542000000002,1.596695,0.8936204000000001,90.791015943,0.7375171727509767,0.6796750980577815,1.3465365908691265,1.6673810399453892,1.5125673505512625,29_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.9,800,N,200.0,10,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba0.73122Co0.0Fe0.0Y0.18487Zr0.81513O3,01300,17,2,6,0.59239,,25.389971,31.643998999999997,0.8900020503338643,2.150004953053717,1.4900034325814133,137.32731636651525,1.3096643000000001,1.5962175000000003,0.8932766,90.7954436095,0.7312183154587929,0.679565023139032,1.3469373397132387,1.6680202219350797,1.512491276072653,29_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.9,800,N,200.0,10,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba0.72989Co0.0Fe0.0Y0.18577Zr0.81423O3,01300,18,2,7,0.58670002,,29.387990999999996,31.643998999999997,0.8899951174524727,2.149988205081816,1.489991825847398,137.32624662291653,1.3095653,1.5964425000000002,0.8934386000000001,90.7933572745,0.7298940042046803,0.6796111025944813,1.346737013755156,1.6677047822283455,1.5125142493379926,29_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.9,800,N,200.0,10,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba0.73774Co0.0Fe0.0Y0.18178Zr0.81822O3,01300,19,2,8,0.57042998,,33.385979,31.643998999999997,0.8900036781965969,2.1500088855311046,1.4900061578796957,137.3275675457349,1.3100042,1.595445,0.8927204,90.802606693,0.7377369510769182,0.6793899425639985,1.3475919793732185,1.6690625170878763,1.512374727413211,29_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.9,800,N,200.0,10,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
Ba0.73468Co0.0Fe0.0Y0.18401Zr0.81599O3,01300,20,2,9,0.54141003,,37.383990999999995,31.643998999999997,0.8899971565547093,2.149993131002949,1.4899952396252998,137.32656125639164,1.3097589,1.5960025,0.8931218000000001,90.79743721850001,0.7346823472236633,0.6795122037763662,1.3471113804664774,1.6683001575208438,1.5124497503814052,29_Sept_2017,Pulsed Laser Deposition,BZY82,400.0,18.9,800,N,200.0,10,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180/ 90/ 270,0,0,0
