FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant (A),PROPERTY: Film thickness ($\mu$m),PROPERTY: FWHM of 110 peak ($^{\circ}$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Area of 110 peak,PROPERTY: Position of 110 peak ($^{\circ}$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba1.0Co0.05372Fe0.0Y0.0Zr0.92297O3,01137,11,1,11,4.1828284,0.03802,0.60625356,397.62323,4.301178,30.180103000000003,45.37999,44.139998999999996,0.89,2.15,1.49,137.327,1.3602538021044839,1.5390025758393973,0.8549598050866464,89.44811205718823,1.0238683169431944,0.6542896616962643,1.3970087079466742,1.742771988969698,1.5352699664829217,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.86891Co0.04909Fe0.0Y0.0Zr0.95091O3,01137,12,2,1,,0.1032,,,,,5.4000001,31.643998999999997,0.8900026626835591,2.1500064323254517,1.4900044577511269,137.32741085207317,1.3569995000000001,1.5401820000000002,0.8555000833333334,89.63884438255,0.8689074004208432,0.6558607152644927,1.3959430978452232,1.7416765781547772,1.532007823148674,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.88479Co0.04657Fe0.0Y0.0Zr0.95343O3,01137,13,2,2,,0.10184,,,,,9.397999800000001,31.643998999999997,0.8899976001269402,2.1499942025538443,1.4899959822349897,137.32662969958687,1.3556135,1.540686,0.8557310833333333,89.72021721115,0.884792385830798,0.6565275427892538,1.3954785092834259,1.7411965175216044,1.5306096437149572,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.90373Co0.04758Fe0.0Y0.0Zr0.95242O3,01137,14,2,3,,0.10206,,,,,13.39599,31.643998999999997,0.889995992174625,2.149990318174656,1.4899932902698778,137.32638159254464,1.3561690000000002,1.5404840000000002,0.8556385000000001,89.6876034981,0.9037340696722884,0.6562574370706195,1.3956589735269276,1.7413817754459129,1.5311634633592794,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.89753Co0.04672Fe0.0Y0.0Zr0.95328O3,01137,15,2,4,,0.10153,,,,,17.393998999999997,31.643998999999997,0.8900044572016282,2.1500107673971915,1.4900074620566586,137.32768774621124,1.355696,1.540656,0.8557173333333333,89.71537359039999,0.897525505109952,0.6564926482055182,1.3955164341664794,1.7412379111832785,1.5307040727845334,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.8646Co0.04762Fe0.0Y0.0Zr0.95238O3,01137,16,2,5,,0.09842000199999999,,,,,21.391991,31.643998999999997,0.8900012155754472,2.1500029365024846,1.4900020350645127,137.32718756329152,1.3561910000000001,1.540476,0.8556348333333333,89.6863118659,0.8645988191178695,0.6562506428485716,1.3956744126506901,1.7413994580606866,1.531194501214686,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.87321Co0.04696Fe0.0Y0.0Zr0.95304O3,01137,17,2,6,,0.091909997,,,,,25.389999,31.643998999999997,0.8899951310266394,2.1499882378733424,1.4899918485726884,137.32624871741046,1.355828,1.540608,0.8556953333333333,89.7076237972,0.8732147771454922,0.6564218551517149,1.3955452898293028,1.7412644320128214,1.530820268162055,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.91585Co0.04836Fe0.0Y0.0Zr0.95164O3,01137,18,2,7,,0.082950003,,,,,29.38802,31.643998999999997,0.8899997987025995,2.1499995137197625,1.4899996629964867,137.32696893981108,1.3565980000000002,1.5403280000000001,0.855567,89.6624166702,0.9158502071441191,0.6560527132596388,1.3958062917247251,1.7415347518037592,1.531600129014287,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.92415Co0.04745Fe0.0Y0.0Zr0.95255O3,01137,19,2,8,,0.074550003,,,,,33.386009,31.643998999999997,0.8899998901136638,2.149999734544244,1.4899998160329877,137.3269830445383,1.3560975,1.54051,0.8556504166666666,89.69180130275001,0.9241501141027755,0.6562949125071492,1.3956415307555574,1.7413651498441831,1.5310985067743061,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.93312Co0.05004Fe0.0Y0.0Zr0.94996O3,01137,20,2,9,,0.066979997,,,,,37.384009999999996,31.643998999999997,0.8900018266178796,2.150004412616226,1.4900030580456636,137.32728184713883,1.3575220000000001,1.5399920000000002,0.855413,89.6081681178,0.9331180848874407,0.6556076635353826,1.39611401397944,1.7418522492008697,1.5325308477080648,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.94184Co0.05025Fe0.0Y0.0Zr0.94975O3,01137,21,2,10,,0.058710001,,,,,41.381989000000004,31.643998999999997,0.8899997606714942,2.149999421846868,1.489999599326434,137.32696307161154,1.3576375,1.53995,0.85539375,89.60138704875,0.9418402532687872,0.655550366479634,1.3961488501879074,1.7418874048663955,1.5326432725521892,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.96776Co0.04512Fe0.0Y0.0Zr0.95488O3,01137,22,2,11,,0.051210001,,,,,45.37999,31.643998999999997,0.8900025178067541,2.1500060823421587,1.4900042152045658,137.32738849758215,1.354816,1.5409760000000001,0.855864,89.7670388784,0.9677572622182345,0.6569176314767128,1.3952236000704479,1.7409357271769414,1.5298197446794277,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.86703Co0.04629Fe0.0Y0.0Zr0.95371O3,01137,23,3,1,,0.11653,,,,,5.4000001,19.148001,0.8899982036022527,2.1499956603874644,1.4899969925475915,137.3267228158276,1.3554595,1.5407419999999998,0.85575675,89.72925863655,0.8670317500380703,0.6566025791270433,1.3954287352376094,1.7411454745143309,1.530456452026111,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.86247Co0.04565Fe0.0Y0.0Zr0.95435O3,01137,24,3,2,,0.11807000000000001,,,,,9.397999800000001,19.148001,0.8900050862381285,2.150012286979748,1.4900085151627094,137.3277848065432,1.3551075000000001,1.54087,0.8558154166666667,89.74992475175,0.862465071120529,0.6567782159261375,1.3953236074294058,1.7410395818366706,1.5301158768254621,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.84251Co0.03914Fe0.0Y0.0Zr0.96086O3,01137,25,3,3,,0.11840999999999999,,,,,13.39599,19.148001,0.8899968850743036,2.149992475179497,1.489994785124396,137.32651936696504,1.3515270000000001,1.542172,0.8564121666666668,89.96013789230001,0.8425129487249815,0.6585121015520249,1.3941327395254854,1.7398103893406416,1.5265263324893066,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.8589Co0.04185Fe0.0Y0.0Zr0.95815O3,01137,26,3,4,,0.11672,,,,,17.393998999999997,19.148001,0.8900012976755716,2.150003134834246,1.4900021725130355,137.32720023134067,1.3530175,1.54163,0.85616375,89.87262981075,0.8588987476719963,0.6577899381756493,1.3946297975741557,1.740323825334856,1.5280202718059825,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.84889Co0.04123Fe0.0Y0.0Zr0.95877O3,01137,27,3,5,,0.10994000000000001,,,,,21.391991,19.148001,0.8900011878035773,2.150002869413136,1.490001988570034,137.32718327809198,1.3526765,1.541754,0.8562205833333334,89.89265010985,0.8488888670637831,0.6579556810542485,1.3945174583060176,1.740208093070293,1.5276797725984979,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.86394Co0.04108Fe0.0Y0.0Zr0.95892O3,01137,28,3,6,,0.10242000000000001,,,,,25.389999,19.148001,0.8900037761329842,2.1500091221190067,1.4900063218406139,137.32758265731945,1.352594,1.541784,0.8562343333333333,89.8974937306,0.8639363344511363,0.6579977259495341,1.394494379315784,1.7401852084580591,1.5276019047745135,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.87993Co0.04335Fe0.0Y0.0Zr0.95665O3,01137,29,3,7,,0.09375999900000001,,,,,29.38802,19.148001,0.8899950824756319,2.1499881205872007,1.4899917672906646,137.32624122599,1.3538425,1.54133,0.85602625,89.82419360325,0.8799348619113773,0.6573845055651835,1.3948915031740123,1.7405912111815083,1.5288335549390482,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.88736Co0.04401Fe0.0Y0.0Zr0.95599O3,01137,30,3,8,,0.085029997,,,,,33.386009,19.148001,0.8900005754222302,2.1500013900649377,1.490000963347329,137.3270887876501,1.3542055000000002,1.541198,0.85596575,89.80288167195,0.8873594262850113,0.657212347330025,1.3950195822113303,1.740724980348021,1.52920581423329,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.91076Co0.04383Fe0.0Y0.0Zr0.95617O3,01137,31,3,9,,0.074100003,,,,,37.384009999999996,19.148001,0.890000136777097,2.1500003304165825,1.4900002289863759,137.32702110470606,1.3541065,1.541234,0.85598225,89.80869401685,0.9107598600324834,0.6572600728060141,1.3949863099416329,1.7406905680420077,1.5291060916545633,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.93584Co0.04386Fe0.0Y0.0Zr0.95614O3,01137,32,3,10,,0.065370001,,,,,41.381989000000004,19.148001,0.890001598456331,2.150003861439451,1.4900026760673406,137.32724664181185,1.354123,1.5412279999999998,0.8559795,89.8077252927,0.9358383192172066,0.6572531435152722,1.3949940316678981,1.7406990191556464,1.529125096913845,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.94422Co0.04372Fe0.0Y0.0Zr0.95628O3,01137,33,3,11,,0.056589997999999996,,,,,45.37999,19.148001,0.8900031446358,2.150007596592101,1.490005264614991,137.32748521730394,1.354046,1.541256,0.8559923333333334,89.8122460054,0.9442166638005348,0.6572916611664595,1.394971112256563,1.7406759460248176,1.529050784556118,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.86849Co0.03989Fe0.0Y0.0Zr0.96011O3,01137,34,4,1,,0.10374000000000001,,,,,5.4000001,6.650000099999999,0.8900014944706504,2.150003610238088,1.4900025019789538,137.32723059682135,1.3519395,1.542022,0.8563434166666667,89.93591978855,0.8684885416509712,0.6583145876502982,1.3942755746922468,1.73995907830858,1.5269453063880811,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.86134Co0.03914Fe0.0Y0.0Zr0.96086O3,01137,35,4,2,,0.10463,,,,,9.397999800000001,6.650000099999999,0.8900003707696018,2.150000895679375,1.4900006207266367,137.32705720974957,1.3515270000000001,1.542172,0.8564121666666668,89.96013789230001,0.861339641170162,0.6585146806313168,1.3941381996816016,1.7398172033520114,1.5265323111682763,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.87256Co0.0372Fe0.0Y0.0Zr0.9628O3,01137,36,4,3,,0.10428,,,,,13.398,6.650000099999999,0.8899977391207009,2.1499945383252888,1.4899962149324093,137.32665114632414,1.35046,1.54256,0.85659,90.022782054,0.8725622165818568,0.6590330251326962,1.3937834109047873,1.7394508632279262,1.5254655323132427,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.86839Co0.03807Fe0.0Y0.0Zr0.96193O3,01137,37,4,4,,0.1018,,,,,17.393998999999997,6.650000099999999,0.8899957073739594,2.1499896301730477,1.4899928134687634,137.32633764780192,1.3509385,1.542386,0.85651025,89.99468905365,0.8683941884174233,0.6587980928620802,1.3939374645342006,1.7396088528640066,1.5259382424882353,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.86659Co0.04175Fe0.0Y0.0Zr0.95825O3,01137,38,4,5,,0.09719999900000001,,,,,21.391991,6.650000099999999,0.8900007257861609,2.150001753303647,1.4900012150802018,137.3271119888046,1.3529625,1.5416500000000002,0.8561729166666667,89.87585889125,0.8665892933050379,0.6578162556509591,1.3946108087462439,1.7403040741830695,1.5279643909158156,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.8858Co0.03707Fe0.0Y0.0Zr0.96293O3,01137,39,4,6,,0.090769999,,,,,25.389999,6.650000099999999,0.8899950701484008,2.1499880908079345,1.4899917466529407,137.32623932389825,1.3503885,1.542586,0.8566019166666666,90.02697985865,0.8858049066143094,0.6590659429848528,1.3937557392637652,1.7394214484728359,1.5253898280216898,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.89843Co0.04081Fe0.0Y0.0Zr0.95919O3,01137,40,4,7,,0.083439998,,,,,29.38802,6.650000099999999,0.890004240770306,2.150010244557481,1.4900070997165797,137.3276543508582,1.3524455,1.5418379999999998,0.8562590833333333,89.90621224795001,0.8984257190818971,0.6580703183753476,1.394446267738557,1.7401358172063144,1.5274545653433362,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.9034Co0.04179Fe0.0Y0.0Zr0.95821O3,01137,41,4,8,,0.07630000299999999,,,,,33.386009,6.650000099999999,0.8900043987380103,2.1500106261648564,1.4900073641793656,137.32767872527498,1.3529845000000003,1.5416420000000002,0.85616925,89.87456725905,0.903395535055867,0.6578082740327107,1.3946238012228884,1.7403187093899548,1.527992655913975,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.94011Co0.04012Fe0.0Y0.0Zr0.95988O3,01137,42,4,9,,0.06741,,,,,37.384009999999996,6.650000099999999,0.8899988566946437,2.1499972380825665,1.489998085926988,137.32682358798354,1.352066,1.541976,0.8563223333333333,89.9284929034,0.940111207678853,0.6582510444716779,1.3943130360541063,1.739996760480366,1.527066885636549,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.92712Co0.04455Fe0.0Y0.0Zr0.95545O3,01137,43,4,10,,0.0601,,,,,41.381989000000004,6.650000099999999,0.8899999478694034,2.1499998740665363,1.4899999127251808,137.32699195624895,1.3545025000000002,1.54109,0.85591625,89.78544463725001,0.9271200543048558,0.657067777925403,1.3951163618390465,1.7408244237975161,1.5295017194721894,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
Ba0.96404Co0.04941Fe0.0Y0.0Zr0.95059O3,01137,44,4,11,,0.053630002,,,,,45.37999,6.650000099999999,0.8899960160921171,2.149990375952867,1.4899933303115218,137.32638528301365,1.3571755,1.540118,0.8554707500000001,89.62851132495001,0.9640443153525252,0.6557707651605242,1.3959906812029121,1.7417232913124403,1.532173002239589,23_June_2016,Pulsed Laser Deposition,BZC91,400.0,21.2,850,N,200.0,10,50.0,SiO2,0,131,0,0,0,0,0,131.0,0,0,0,0,0,0,0
