FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Film thickness ($\mu$m),PROPERTY: Area of 110 peak,IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.69645Co0.0Fe0.0Y0.15296Zr0.84704O3,01333,1,1,1,0.26866001,8.4897881,5.402,44.141998,0.8899965785190548,2.149991734624683,1.489994271902687,137.32647206549015,1.3131744,1.58824,0.8875328,90.86941577600001,0.6964526774152416,0.6777443868225383,1.353694488631871,1.678804740402481,1.5112507425381747,20_Oct_2017,Pulsed Laser Deposition,BZY82,650.0,,650,Y,120.0,20,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180,0,0,0
Ba0.70106Co0.0Fe0.0Y0.15724Zr0.84276O3,01333,2,1,2,0.28659999,7.6163235,9.3999996,44.141998,0.8900054930481615,2.1500132697230865,1.4900091962266973,137.3278475773313,1.3127036,1.58931,0.8883032,90.859494094,0.7010556731094649,0.6779942502238597,1.3527966663036703,1.6773655619237862,1.511430907102089,20_Oct_2017,Pulsed Laser Deposition,BZY82,650.0,,650,Y,120.0,20,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180,0,0,0
Ba0.69602Co0.0Fe0.0Y0.15339Zr0.84661O3,01333,3,1,3,0.30246001,,13.398,44.141998,0.890004897502708,2.1500118310458673,1.4900081991899268,137.32775568466784,1.3131271,1.5883475,0.8876102,90.86841897149999,0.6960161699538459,0.6777751350213608,1.3536155224507656,1.678674038660131,1.511281446722864,20_Oct_2017,Pulsed Laser Deposition,BZY82,650.0,,650,Y,120.0,20,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180,0,0,0
Ba0.69663Co0.0Fe0.0Y0.15618Zr0.84382O3,01333,4,1,4,0.31226999,,17.39798,44.141998,0.8900047099779522,2.150011378036626,1.4900078852439873,137.327726749598,1.3128202,1.589045,0.8881124,90.86195133300001,0.6966263133768799,0.6779334367173451,1.3530210774626432,1.6777244470902413,1.5113887026958683,20_Oct_2017,Pulsed Laser Deposition,BZY82,650.0,,650,Y,120.0,20,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180,0,0,0
Ba0.69706Co0.0Fe0.0Y0.15797Zr0.84203O3,01333,5,1,5,0.31773999,,21.393998999999997,44.141998,0.8900000384780504,2.1500000929525935,1.4900000644183091,137.3270059371632,1.3126233,1.5894925,0.8884346,90.8578018445,0.6970599698634734,0.6780315711888174,1.3526330529729418,1.6771072000328546,1.511449794616357,20_Oct_2017,Pulsed Laser Deposition,BZY82,650.0,,650,Y,120.0,20,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180,0,0,0
Ba0.7019Co0.0Fe0.0Y0.1554Zr0.8446O3,01333,6,1,6,0.31793001,,25.39197,44.141998,0.8900061090239839,2.1500147577545676,1.490010227467119,137.3279426224007,1.3129060000000001,1.58885,0.887972,90.86375949,0.7018951821410091,0.6778901985549489,1.3531892612610175,1.6779923550147064,1.5113610023753674,20_Oct_2017,Pulsed Laser Deposition,BZY82,650.0,,650,Y,120.0,20,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180,0,0,0
Ba0.69835Co0.0Fe0.0Y0.15707Zr0.84293O3,01333,7,1,7,0.31027001,,29.391990999999997,44.141998,0.8899995991210008,2.1499990315844397,1.4899993288654956,137.32693814437042,1.3127223,1.5892675,0.8882726,90.8598881795,0.6983503145550284,0.6779801022051662,1.3528238836976403,1.6774122368127709,1.5114143424111588,20_Oct_2017,Pulsed Laser Deposition,BZY82,650.0,,650,Y,120.0,20,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180,0,0,0
Ba0.69842Co0.0Fe0.0Y0.15662Zr0.84338O3,01333,8,1,8,0.29903001,,33.387989000000005,44.141998,0.8899970684235008,2.1499929181017152,1.4899950920797933,137.32654765774618,1.3127718000000002,1.589155,0.8881916000000001,90.860931347,0.6984223005375313,0.6779526102126057,1.3529158062628976,1.6775604408776137,1.5113926923475274,20_Oct_2017,Pulsed Laser Deposition,BZY82,650.0,,650,Y,120.0,20,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180,0,0,0
Ba0.69616Co0.0Fe0.0Y0.15444Zr0.84556O3,01333,9,1,9,0.28452,,37.38599,44.141998,0.8899948067248067,2.1499874544475666,1.4899913056404066,137.32619867763768,1.3130116,1.58861,0.8877992,90.865984914,0.6961640622152301,0.6778270707774453,1.3533765080463842,1.6782976439271478,1.511304794721698,20_Oct_2017,Pulsed Laser Deposition,BZY82,650.0,,650,Y,120.0,20,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180,0,0,0
Ba0.70223Co0.0Fe0.0Y0.15309Zr0.84691O3,01333,10,1,10,0.2669,,41.383990999999995,44.141998,0.8899994025554061,2.1499985567349698,1.4899989997837697,137.32690781429915,1.3131601000000002,1.5882725000000002,0.8875562000000001,90.86911441650001,0.7022304713975268,0.6777539178622668,1.3536710839827357,1.6787658063610726,1.5112605498151892,20_Oct_2017,Pulsed Laser Deposition,BZY82,650.0,,650,Y,120.0,20,50.0,EXG,0,0,0,125.0,0,0,0,125.0,0,0,0,0/ 180,0,0,0
