FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant (A),PROPERTY: Film thickness ($\mu$m),PROPERTY: FWHM of 110 peak ($^{\circ}$),PROPERTY: FWHM of 111 peak ($^{\circ}$),PROPERTY: FWHM of 200 peak ($^{\circ}$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Max intensity of 200 peak (counts),PROPERTY: Area of 110 peak,PROPERTY: Position of 110 peak ($^{\circ}$),PROPERTY: Position of 111 peak ($^{\circ}$),PROPERTY: Position of 200 peak ($^{\circ}$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.91458Co0.05021Fe0.0Y0.0Zr0.94979O3,01026,11,1,11,4.1742973,0.07976,0.42381611,,0.80622071,1665.9241,,374.33313,11.944047,30.243256,,43.275436,45.37999,44.14201,0.8899999085851041,2.149999779166263,1.4899998469570845,137.32698589468157,1.3576155,1.5399580000000002,0.8553974166666667,89.60267868095,0.9145800939396,0.6555610985474931,1.39614182930071,1.7418802277464807,1.5326214340495827,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.81429Co0.03986Fe0.0Y0.0Zr0.96014O3,01026,12,2,1,,0.16282,,,,,,,,,,,5.4000001,31.643998999999997,0.8899984768717359,2.149996320532845,1.4899974500436928,137.32676498130886,1.351923,1.5420280000000002,0.8563461666666667,89.93688851270001,0.8142913935620637,0.6583203901936249,1.394265422244502,1.7399475913385798,1.5269236822876846,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.78989Co0.04007Fe0.0Y0.0Zr0.95993O3,01026,13,2,2,,0.17143001,,,,,,,,,,,9.397999800000001,31.643998999999997,0.890004819017938,2.150011641447828,1.490008067794076,137.32774357446783,1.3520385,1.5419859999999999,0.8563269166666666,89.93010744364999,0.7898857230635186,0.6582688429493229,1.3943133345230294,1.7399991040735623,1.5270496997962235,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.79627Co0.04152Fe0.0Y0.0Zr0.95848O3,01026,14,2,3,,0.17452,,,,,,,,,,,13.39599,31.643998999999997,0.8899945302366322,2.1499867865266955,1.48999084275571,137.32615601551234,1.352836,1.541696,0.8561939999999999,89.8832857764,0.7962748937474659,0.6578731865774065,1.3945594893718967,1.7402491056416072,1.5278275024027779,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.79786Co0.04139Fe0.0Y0.0Zr0.95861O3,01026,15,2,4,,0.17482001,,,,,,,,,,,17.393998999999997,31.643998999999997,0.8900012598943222,2.1500030435649355,1.490002109261281,137.3271944016939,1.3527645000000001,1.541722,0.8562059166666666,89.88748358105,0.7978588705417293,0.6579129330303406,1.3945465158860906,1.740238043509527,1.5277677039191815,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.79162Co0.04176Fe0.0Y0.0Zr0.95824O3,01026,16,2,5,,0.17347001,,,,,,,,,,,21.391991,31.643998999999997,0.8900027179853881,2.1500065659197576,1.4900045503350878,137.3274193851454,1.3529680000000002,1.541648,0.856172,89.87553598320001,0.7916175824662672,0.6578150540037813,1.3946157397277186,1.740309832995108,1.5279733008859644,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.82101Co0.04265Fe0.0Y0.0Zr0.95735O3,01026,17,2,6,,0.16556001,,,,,,,,,,,25.389999,31.643998999999997,0.8900010615159145,2.150002564336198,1.490001777144621,137.3271637919056,1.3534575,1.5414700000000001,0.8560904166666666,89.84679716675001,0.8210090207706274,0.6575759205707712,1.394774185898005,1.7404724409206633,1.5284592007997237,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.81338Co0.03899Fe0.0Y0.0Zr0.96101O3,01026,18,2,7,4.2029371,0.15516999,0.64859539,,0.60305226,195.6053,,241.99887,,30.032301,,43.017963,29.38802,31.643998999999997,0.8900038415549618,2.150009280160863,1.4900064313672956,137.3275927519306,1.3514445000000002,1.542202,0.8564259166666667,89.96498151305,0.8133764891792272,0.6585574483857545,1.394116516617708,1.7397960551761626,1.5264560770460487,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.83786Co0.04432Fe0.0Y0.0Zr0.95568O3,01026,19,2,8,4.181354499999999,0.14336,0.51188606,,0.60144126,1339.9139,,660.0316799999999,6.6484504,30.190996000000002,,43.233349,33.386009,31.643998999999997,0.8899983613270215,2.1499960414079733,1.4899972566036652,137.3267471527594,1.3543760000000002,1.541136,0.8559373333333333,89.7928715224,0.8378615426753593,0.6571279772581774,1.395072233344736,1.7407784408714484,1.5293724860831681,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.83824Co0.04535Fe0.0Y0.0Zr0.95465O3,01026,20,2,9,4.1716876,0.12970001,0.45251876,,0.70190412,2107.708,,538.70435,10.957485,30.262625,,43.284901,37.384009999999996,31.643998999999997,0.889999743963124,2.149999381483951,1.489999571353994,137.32696049351003,1.3549425000000002,1.54093,0.8558429166666667,89.75961199325,0.8382402411465312,0.6568542531975519,1.3952609018475537,1.7409731883477377,1.529941556608301,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.84582Co0.04292Fe0.0Y0.0Zr0.95708O3,01026,21,2,10,4.170995700000001,0.11702,0.44397771,,0.66169149,1997.8002,,491.54650999999996,10.72503,30.267765,,43.288757000000004,41.381989000000004,31.643998999999997,0.8900034245133733,2.1500082727008456,1.4900057331740746,137.32752840241352,1.353606,1.5414160000000001,0.8560656666666667,89.8380786494,0.8458167454935321,0.6575055256207296,1.3948267519610835,1.7405273814751063,1.5286115917321066,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.84899Co0.04769Fe0.0Y0.0Zr0.95231O3,01026,22,2,11,4.1741962,0.10418,0.47897163,,0.67290902,1426.1676,,457.67307,8.5415106,30.244004999999998,,43.259434000000006,45.37999,31.643998999999997,0.88999663594829,2.149991873358229,1.4899943680482608,137.32648092682115,1.3562295,1.5404620000000002,0.8556284166666667,89.68405150955,0.8489932090528727,0.6562286367818205,1.395679915089258,1.7414035567600001,1.5312252135732065,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.80515Co0.04144Fe0.0Y0.0Zr0.95856O3,01026,23,3,1,,0.16935999999999998,,,,,,,,,,,5.4000001,19.148001,0.8900046459681762,2.1500112234062683,1.4900077780815533,137.32771687288957,1.352792,1.541712,0.8562013333333333,89.8858690408,0.8051457969867978,0.6579020617864211,1.3945608670142466,1.7402539800781516,1.5278009584638412,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.80103Co0.03775Fe0.0Y0.0Zr0.96225O3,01026,24,3,2,,0.17460001,,,,,,,,,,,9.397999800000001,19.148001,0.890004306316991,2.150010402900596,1.4900072094520411,137.32766446471172,1.3507625,1.54245,0.8565395833333334,90.00502211125001,0.8010261241883047,0.65889029812198,1.393893094039091,1.73956608479609,1.5257777982096257,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.80374Co0.04221Fe0.0Y0.0Zr0.95779O3,01026,25,3,3,,0.18065999,,,,,,,,,,,13.39599,19.148001,0.8900007420841505,2.150001792675195,1.4900012423656002,137.3271145035844,1.3532155000000001,1.5415580000000002,0.8561307499999999,89.86100512095001,0.8037393298402048,0.6576932809919414,1.3946940644952668,1.7403898205567319,1.5282169870985367,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.78833Co0.03858Fe0.0Y0.0Zr0.96142O3,01026,26,3,4,,0.18095999999999998,,,,,,,,,,,17.393998999999997,19.148001,0.8899954513996988,2.149989011808261,1.4899923849275856,137.3262981509735,1.3512190000000002,1.5422840000000002,0.8564635,89.97822074310001,0.788334029007193,0.6586611433081526,1.3940292525943736,1.7397033089297858,1.5262170891671516,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.78812Co0.04095Fe0.0Y0.0Zr0.95905O3,01026,27,3,5,,0.17824,,,,,,,,,,,21.391991,19.148001,0.8899982018630009,2.1499956561859013,1.4899969896358105,137.32672254746106,1.3525225,1.54181,0.85624625,89.90169153525,0.7881215923040392,0.6580283890752286,1.3944621296955535,1.74015009074295,1.5275210088078928,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.79351Co0.0399Fe0.0Y0.0Zr0.9601O3,01026,28,3,6,,0.1735,,,,,,,,,,,25.389999,19.148001,0.8900019758299175,2.1500047730722724,1.4900033078500865,137.32730487055628,1.3519450000000002,1.54202,0.8563424999999999,89.9355968805,0.7935082383850369,0.658312265535889,1.394278137165713,1.739961881898991,1.5269516146429427,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.7919Co0.03995Fe0.0Y0.0Zr0.96005O3,01026,29,3,7,,0.16399001,,,,,,,,,,,29.38802,19.148001,0.8900044083298831,2.1500106493362345,1.4900073802376697,137.32768020530096,1.3519724999999998,1.5420099999999999,0.8563379166666666,89.93398234025,0.7918960775964684,0.6583006742591904,1.3942909899003475,1.7399759501921737,1.5269832006965391,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.78379Co0.04271Fe0.0Y0.0Zr0.95729O3,01026,30,3,8,4.1970282,0.15113001,0.70710766,,0.64548337,280.58984,,249.70825,,30.075578999999998,,43.15065,33.386009,19.148001,0.8900042671122378,2.1500103081924844,1.4900071438171172,137.32765841541828,1.3534905,1.541458,0.8560849166666666,89.84485971845001,0.7837862421304881,0.6575622563381404,1.3947900677102356,1.7404898916088256,1.5284976663747574,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.81331Co0.0408Fe0.0Y0.0Zr0.9592O3,01026,31,3,9,4.1991935,0.13770001,0.80378443,0.010683401,0.51591039,295.03717,870.32379,285.70206,,30.059703999999996,38.909382,43.119442,37.384009999999996,19.148001,0.8899987570038523,2.149996997256497,1.4899979190289212,137.32680820569442,1.35244,1.54184,0.85626,89.906535156,0.8133111358905717,0.6580689398449117,1.3944358670526753,1.7401232324631783,1.5274396679553253,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.83575Co0.04456Fe0.0Y0.0Zr0.95544O3,01026,32,3,10,4.1941824,0.12319000000000001,0.65210664,,0.77009702,355.80612,,256.87307999999996,3.4255457000000002,30.096467999999998,,43.131947,41.381989000000004,19.148001,0.8899949014149588,2.14998768319344,1.4899914641666165,137.32621328832815,1.354508,1.541088,0.8559153333333333,89.7851217292,0.8357547878279318,0.657061384218446,1.3951102618367284,1.7408164173948086,1.5294985476827259,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.83338Co0.04234Fe0.0Y0.0Zr0.95766O3,01026,33,3,11,,0.11076,,,,,,,,,,,45.37999,19.148001,0.8899997540716668,2.1499994059034644,1.4899995882772847,137.32696205325817,1.3532870000000001,1.541532,0.8561188333333333,89.8568073163,0.8333802302829337,0.6576578021304178,1.3947160395654872,1.7404121136734152,1.5282866836105258,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.80865Co0.0415Fe0.0Y0.0Zr0.9585O3,01026,34,4,1,4.178916,0.13644999,0.79810846,,0.72429425,373.68259,,252.5174,3.6257064,30.20903,,43.182259,5.4000001,6.650000099999999,0.8899971026392834,2.1499930007578194,1.489995149362396,137.32655293724144,1.3528250000000002,1.5417,0.8561958333333333,89.8839315925,0.8086526325374953,0.6578804373361546,1.394559901899085,1.740250409256912,1.52782094089774,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.80529Co0.04245Fe0.0Y0.0Zr0.95755O3,01026,35,4,2,,0.14117000000000002,,,,,,,,,,,9.397999800000001,6.650000099999999,0.8899956423731248,2.14998947314856,1.4899927046471415,137.32632761817317,1.3533475000000001,1.5415100000000002,0.8561087500000001,89.85325532775,0.8052939428882336,0.6576253640496064,1.3947295010402527,1.7404245718165376,1.5283400375118266,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.79334Co0.04186Fe0.0Y0.0Zr0.95814O3,01026,36,4,3,4.1810818,0.14568,0.75834841,,,222.64087,,,,30.193009999999997,,,13.39599,6.650000099999999,0.8899988493954041,2.1499972204495714,1.4899980737069125,137.32682246171083,1.3530229999999999,1.541628,0.8561628333333333,89.8723069027,0.793341025642506,0.6577854547893156,1.394627770415153,1.740320901230719,1.528021558525112,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.79739Co0.04449Fe0.0Y0.0Zr0.95551O3,01026,37,4,4,4.1794744,0.14624999,0.65973336,,0.77206856,440.70471,,284.88345,3.6981987999999997,30.204898999999997,,43.226616,17.393998999999997,6.650000099999999,0.8899997769339779,2.1499994611326434,1.48999962655239,137.3269655809128,1.3544695,1.541102,0.85592175,89.78738208554999,0.7973901998546741,0.6570836603806715,1.3951052306288898,1.7408129032267143,1.5294684218553871,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.80065Co0.03962Fe0.0Y0.0Zr0.96038O3,01026,38,4,5,4.1773734,0.14701,0.62299198,,0.84425902,663.87012,,321.75577000000004,5.2345824,30.220451,,43.224049,21.393998999999997,6.650000099999999,0.8900007219505803,2.1500017440379184,1.4900012086588366,137.32711139697454,1.3517910000000002,1.5420760000000002,0.8563681666666666,89.9446383059,0.8006493505289177,0.6583863348332547,1.3942255401406403,1.739907281302302,1.5267959712053947,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
Ba0.80325Co0.04455Fe0.0Y0.0Zr0.95545O3,01026,39,4,6,4.1730146,0.14303,0.56269521,,0.64986306,933.78809,,387.69061,5.91889,30.252772999999998,,43.279315999999994,25.389999,6.650000099999999,0.8900045108330296,2.1500108969561946,1.4900075518440605,137.32769602153644,1.3545025000000002,1.54109,0.85591625,89.78544463725001,0.8032459288671161,0.6570711466630954,1.3951235144970082,1.7408333488750336,1.5295095611138978,12_Feb_2016,Pulsed Laser Deposition,BZC91,400.0,18,800,Y,20.0,10,50.0,EXG,0,1000,0,0,0,0,0,1000.0,0,90,0,0,0,0,0
