FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant (A),PROPERTY: Film thickness ($\mu$m),PROPERTY: FWHM of 110 peak ($^{\circ}$),PROPERTY: FWHM of 111 peak ($^{\circ}$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Area of 110 peak,PROPERTY: Position of 110 peak ($^{\circ}$),PROPERTY: Position of 111 peak ($^{\circ}$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.87329Co0.25995Fe0.44841Y0.12247Zr0.16917O3,01228,11,1,11,4.0992761,0.07243999799999999,0.48847640000000003,,1145.7523,,10.353859,30.810340999999998,,45.37999,44.141998,0.8900018978524145,2.1500045846996527,1.4900031773034803,137.32729283862753,1.6837058,1.461366,0.854852775,66.68180401974999,0.8732881377842688,0.5285970374708067,1.471229373544788,1.7429939059430208,2.059441775119845,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.93995Co0.25706Fe0.39492Y0.14572Zr0.20231O3,01228,12,2,1,4.094059,0.13287000000000002,0.60431564,0.44269606,975.4137,544.755,6.2202559,30.850578000000002,38.038208000000004,5.4000001,31.643998999999997,0.8899989130855501,2.1499973743077896,1.4899981803342355,137.32683228910037,1.6528270999999999,1.4757954999999998,0.8597124666666668,68.6145624087,0.9399511479173988,0.5384706682783397,1.4568396327999305,1.7331354820424478,2.0014240048798735,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.93749Co0.25135Fe0.39916Y0.14514Zr0.20435O3,01228,13,2,2,,0.13631999,,,,,,,,9.397999800000001,31.643998999999997,0.8899975155150185,2.149993998154258,1.4899958405813232,137.32661664396736,1.6518571,1.4761410000000001,0.8600910833333334,68.64936823225,0.9374926170632892,0.538786021814489,1.4564963632568013,1.7323698262360272,2.000406124341495,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.9409Co0.25554Fe0.40595Y0.1441Zr0.19441O3,01228,14,2,3,,0.13625,,,,,,,,13.39599,31.643998999999997,0.8900037889870407,2.1500091531709407,1.4900063433603266,137.32758464070037,1.6576709999999997,1.4740244999999998,0.859468875,68.2762572253,0.9408959943340122,0.5369001381981351,1.4585979766082184,1.7336361870699815,2.0113519724366666,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.94675Co0.2606Fe0.40205Y0.14296Zr0.19439O3,01228,15,2,4,,0.1345,,,,,,,,17.393998999999997,31.643998999999997,0.8900038065214195,2.1500091955292717,1.490006372715635,137.32758734625503,1.6586294000000001,1.4733125,0.8588290916666668,68.25348654300001,0.9467459507766961,0.5365899136488352,1.4593028943481248,1.7349276907051305,2.0120230379694672,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.92989Co0.25613Fe0.39992Y0.13799Zr0.20597O3,01228,16,2,5,,0.12943999,,,,,,,,21.391991,31.643998999999997,0.8899957162936833,2.149989651720696,1.4899928284017845,137.32633902411533,1.6556659000000002,1.473299,0.8583688166666668,68.48561715685,0.9298944757245388,0.5375454771966272,1.4593030007627072,1.7358422154569,2.0051850990785707,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.94303Co0.25657Fe0.40464Y0.14108Zr0.19771O3,01228,17,2,6,,0.12215999999999999,,,,,,,,25.391991,31.643998999999997,0.889995743070276,2.1499897164057225,1.4899928732300125,137.32634315574356,1.6579147,1.47326,0.8588406833333335,68.29634499915001,0.9430345105973472,0.5368163652027912,1.4593416752003872,1.7348885563350938,2.0107422023455674,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.94739Co0.26374Fe0.4097Y0.13974Zr0.18681O3,01228,18,2,7,,0.11179000000000001,,,,,,,,29.38802,31.643998999999997,0.890003276559162,2.1500079152833687,1.490005485475451,137.3275055730787,1.6645223,1.4707165000000002,0.8578956833333333,67.8879962683,0.9473865121708355,0.5346899086657848,1.4618778774042234,1.7368142938848579,2.02285401133872,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.95463Co0.26515Fe0.41464Y0.12774Zr0.19247O3,01228,19,2,8,,0.10094,,,,,,,,33.386009,31.643998999999997,0.8899996863644105,2.1499992423409915,1.4899994749246872,137.32695160602853,1.6691011,1.466709,0.8555779833333335,67.69642401325,0.9546303364112902,0.5332209572951635,1.4658662640925988,1.7415121753363105,2.0285702473612193,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.94564Co0.26908Fe0.4208Y0.1271Zr0.18302O3,01228,20,2,9,,0.08962000199999999,,,,,,,,37.384009999999996,31.643998999999997,0.8899962899175525,2.1499910374412785,1.4899937887383743,137.32642753427834,1.6744130000000002,1.464839,0.8550563333333333,67.3530701256,0.9456439420415629,0.531527341174222,1.4677319742587946,1.7425679813747643,2.0389037541747097,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.94403Co0.27885Fe0.43637Y0.12853Zr0.15625O3,01228,21,2,10,4.0865703,0.079149999,0.58739495,0.46317741,1044.5037,518.71552,11.50975,30.908521999999998,38.106541,41.381989000000004,31.643998999999997,0.8900007019692107,2.1500016957683177,1.4900011752068807,137.3271083138492,1.6874141999999999,1.460907,0.854301375,66.48342297625,0.9440292554163245,0.5274346405104394,1.4716896392229744,1.7441165598110862,2.06558420379328,2_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.4,850,N,200.0,5,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
