Point	Row	Column	_s_MaxIntensity
1	1	1	0.1153818
2	1	2	0.11645012
3	1	3	0.11584314
4	1	4	0.11069183
5	1	5	0.10964559
6	1	6	0.10628694
7	1	7	0.10692764
8	1	8	0.10309476
9	1	9	0.099734135
10	1	10	0.086761877
11	1	11	0.077531874
12	2	1	0.09618967
13	2	2	0.097187765
14	2	3	0.091538243
15	2	4	0.093857802
16	2	5	0.092573136
17	2	6	0.098241091
18	2	7	0.10110469
19	2	8	0.09917976
20	2	9	0.097457476
21	2	10	0.094176494
22	2	11	0.087430745
23	3	1	0.080628574
24	3	2	0.088301286
25	3	3	0.086356856
26	3	4	0.090559237
27	3	5	0.092740864
28	3	6	0.093057729
29	3	7	0.089296944
30	3	8	0.090383008
31	3	9	0.092554286
32	3	10	0.09153004
33	3	11	0.08711879
34	4	1	0.083539255
35	4	2	0.08358337
36	4	3	0.081934161
37	4	4	0.09024296
38	4	5	0.084560849
39	4	6	0.089454189
40	4	7	0.09493009
41	4	8	0.090881728
42	4	9	0.08732447
43	4	10	0.092784904
44	4	11	0.093766719
