Point	Row	Column	Norm_d
1	1	1	0.62028193
2	1	2	0.65418953
3	1	3	0.65880972
4	1	4	0.63414252
5	1	5	0.5919342
6	1	6	0.51949883
7	1	7	0.42098668
8	1	8	0.31824589
9	1	9	0.20884886
10	1	10	0.10501175
11	1	11	0
12	2	1	0.90704775
13	2	2	0.96045417
14	2	3	0.99929523
15	2	4	1
16	2	5	0.95544243
17	2	6	0.86186373
18	2	7	0.76233357
19	2	8	0.64941269
20	2	9	0.49757242
21	2	10	0.36640564
22	2	11	0.22372748
23	3	1	0.79741579
24	3	2	0.85489428
25	3	3	0.90415037
26	3	4	0.90219265
27	3	5	0.87517619
28	3	6	0.80994517
29	3	7	0.73007047
30	3	8	0.62208301
31	3	9	0.49647611
32	3	10	0.38472983
33	3	11	0.25364134
34	4	1	0.37376663
35	4	2	0.42286611
36	4	3	0.46037588
37	4	4	0.47486296
38	4	5	0.486296
39	4	6	0.45638216
40	4	7	0.41605324
41	4	8	0.36389977
42	4	9	0.27611589
43	4	10	0.19185591
44	4	11	0.097337507
