Point	Row	Column	_s_MaxIntensity
1	1	1	0.06255848
2	1	2	0.068265259
3	1	3	0.065709569
4	1	4	0.06552615
5	1	5	0.062507056
6	1	6	0.061383132
7	1	7	0.061350439
8	1	8	0.061773498
9	1	9	0.058761701
10	1	10	0.059977163
11	1	11	0.065008603
12	2	1	0.078313567
13	2	2	0.07999251
14	2	3	0.081369922
15	2	4	0.08007089
16	2	5	0.077751331
17	2	6	0.078779079
18	2	7	0.076547384
19	2	8	0.073422387
20	2	9	0.071029827
21	2	10	0.070085771
22	2	11	0.073988877
23	3	1	0.078900129
24	3	2	0.079587795
25	3	3	0.079685017
26	3	4	0.077934906
27	3	5	0.076344527
28	3	6	0.078182437
29	3	7	0.077830546
30	3	8	0.075769313
31	3	9	0.073882103
32	3	10	0.073866315
33	3	11	0.075042993
34	4	1	0.073032938
35	4	2	0.074746728
36	4	3	0.071496926
37	4	4	0.069858707
38	4	5	0.067005202
39	4	6	0.067330152
40	4	7	0.059315585
41	4	8	0.061155107
42	4	9	0.05604862
43	4	10	0.055387359
44	4	11	0.055294286
