Point	Row	Column	110_s_Area
1	1	1	0.94854343
2	1	2	0.94481182
3	1	3	0.94352895
4	1	4	0.94266337
5	1	5	0.94043601
6	1	6	0.94179875
7	1	7	0.94096595
8	1	8	0.94003391
9	1	9	0.93829525
10	1	10	0.94074976
11	1	11	0.9484871
12	2	1	0.92292404
13	2	2	0.920268
14	2	3	0.91658252
15	2	4	0.91175419
16	2	5	0.90623462
17	2	6	0.9052487
18	2	7	0.90349168
19	2	8	0.90043181
20	2	9	0.89793366
21	2	10	0.90242368
22	2	11	0.91052955
23	3	1	0.89762855
24	3	2	0.89470768
25	3	3	0.89288902
26	3	4	0.88922602
27	3	5	0.88833433
28	3	6	0.89117223
29	3	7	0.89300835
30	3	8	0.89244694
31	3	9	0.89332676
32	3	10	0.89373815
33	3	11	0.89651352
34	4	1	0.89387506
35	4	2	0.89615357
36	4	3	0.89452946
37	4	4	0.89495206
38	4	5	0.90241164
39	4	6	0.89586151
40	4	7	0.89906567
41	4	8	0.90024287
42	4	9	0.89662516
43	4	10	0.90378904
44	4	11	0.90902156
