Point	Row	Column	Fe_at
1	1	1	0.47427171
2	1	2	0.47240591
3	1	3	0.47176448
4	1	4	0.47133169
5	1	5	0.470218
6	1	6	0.47089937
7	1	7	0.47048298
8	1	8	0.47001696
9	1	9	0.46914762
10	1	10	0.47037488
11	1	11	0.47424355
12	2	1	0.46146202
13	2	2	0.460134
14	2	3	0.45829126
15	2	4	0.4558771
16	2	5	0.45311731
17	2	6	0.45262435
18	2	7	0.45174584
19	2	8	0.45021591
20	2	9	0.44896683
21	2	10	0.45121184
22	2	11	0.45526478
23	3	1	0.44881427
24	3	2	0.44735384
25	3	3	0.44644451
26	3	4	0.44461301
27	3	5	0.44416717
28	3	6	0.44558612
29	3	7	0.44650418
30	3	8	0.44622347
31	3	9	0.44666338
32	3	10	0.44686908
33	3	11	0.44825676
34	4	1	0.44693753
35	4	2	0.44807678
36	4	3	0.44726473
37	4	4	0.44747603
38	4	5	0.45120582
39	4	6	0.44793075
40	4	7	0.44953284
41	4	8	0.45012143
42	4	9	0.44831258
43	4	10	0.45189452
44	4	11	0.45451078
