Point	Row	Column	d_um
1	1	1	0.15961
2	1	2	0.1736
3	1	3	0.18546
4	1	4	0.19291
5	1	5	0.19678
6	1	6	0.19484
7	1	7	0.18811999
8	1	8	0.177
9	1	9	0.16292
10	1	10	0.14703
11	1	11	0.13099
12	2	1	0.31742001
13	2	2	0.34134001
14	2	3	0.35718
15	2	4	0.36183
16	2	5	0.35565001
17	2	6	0.33618
18	2	7	0.31115001
19	2	8	0.27993
20	2	9	0.24797
21	2	10	0.21588001
22	2	11	0.18494
23	3	1	0.39804
24	3	2	0.41231
25	3	3	0.41427001
26	3	4	0.40575999
27	3	5	0.38402
28	3	6	0.35466
29	3	7	0.32021001
30	3	8	0.28435999
31	3	9	0.24898
32	3	10	0.21582
33	3	11	0.18605
34	4	1	0.27557999
35	4	2	0.27502999
36	4	3	0.27070001
37	4	4	0.25904
38	4	5	0.24275
39	4	6	0.22415
40	4	7	0.20152
41	4	8	0.18012001
42	4	9	0.15922
43	4	10	0.13943
44	4	11	0.122
