Point	Row	Column	FWHM_110
1	1	1	0.56233639
2	1	2	0.59791261
3	1	3	0.60325968
4	1	4	0.6257354
5	1	5	0.6361447
6	1	6	0.62164825
7	1	7	0.6232354
8	1	8	0.61665058
9	1	9	0.62270498
10	1	10	0.60685724
11	1	11	0.58149904
12	2	1	0.62508738
13	2	2	0.63785082
14	2	3	0.63252336
15	2	4	0.64716518
16	2	5	0.64238054
17	2	6	0.64988369
18	2	7	0.65252072
19	2	8	0.63637686
20	2	9	0.62458205
21	2	10	0.61726475
22	2	11	0.59829718
23	3	1	0.62251449
24	3	2	0.63535774
25	3	3	0.64350951
26	3	4	0.64771938
27	3	5	0.64581209
28	3	6	0.65777564
29	3	7	0.6526283
30	3	8	0.64568037
31	3	9	0.64601952
32	3	10	0.63781822
33	3	11	0.62296528
34	4	1	0.60756761
35	4	2	0.63037252
36	4	3	0.6307047
37	4	4	0.65355307
38	4	5	0.64343709
39	4	6	0.65341932
40	4	7	0.65455008
41	4	8	0.64246106
42	4	9	0.64037716
43	4	10	0.62468827
44	4	11	0.56000388
