Point	Row	Column	Pos_111
1	1	1	37.632458
2	1	2	37.662884
3	1	3	37.686852
4	1	4	37.7029
5	1	5	37.703106
6	1	6	37.699478
7	1	7	37.697491
8	1	8	37.689636
9	1	9	37.675152
10	1	10	37.657162
11	1	11	37.64291
12	2	1	37.716808
13	2	2	37.754635
14	2	3	37.772785
15	2	4	37.775208
16	2	5	37.767357
17	2	6	37.751133
18	2	7	37.739429
19	2	8	37.722263
20	2	9	37.703575
21	2	10	37.690094
22	2	11	37.648422
23	3	1	37.793392
24	3	2	37.793137
25	3	3	37.793488
26	3	4	37.787376
27	3	5	37.778721
28	3	6	37.762928
29	3	7	37.752708
30	3	8	37.737339
31	3	9	37.724712
32	3	10	37.710129
33	3	11	37.692024
34	4	1	37.691662
35	4	2	37.714249
36	4	3	37.731171
37	4	4	37.729256
38	4	5	37.727856
39	4	6	37.720707
40	4	7	37.710083
41	4	8	37.703766
42	4	9	37.698067
43	4	10	37.681114
44	4	11	37.625713
