Point	Row	Column	_s_FWHM
1	1	1	0.11401507
2	1	2	0.12345344
3	1	3	0.12218063
4	1	4	0.12286277
5	1	5	0.12207102
6	1	6	0.11958437
7	1	7	0.12038446
8	1	8	0.12173961
9	1	9	0.12046646
10	1	10	0.1192274
11	1	11	0.11652149
12	2	1	0.15538953
13	2	2	0.15972453
14	2	3	0.1647874
15	2	4	0.16831672
16	2	5	0.17151669
17	2	6	0.1735304
18	2	7	0.17305571
19	2	8	0.17299059
20	2	9	0.17309615
21	2	10	0.16766208
22	2	11	0.16345932
23	3	1	0.18127155
24	3	2	0.18488014
25	3	3	0.18679596
26	3	4	0.1887089
27	3	5	0.18801017
28	3	6	0.1870102
29	3	7	0.18482219
30	3	8	0.18332237
31	3	9	0.18055531
32	3	10	0.18012814
33	3	11	0.17852947
34	4	1	0.17915787
35	4	2	0.17859316
36	4	3	0.17696746
37	4	4	0.17490664
38	4	5	0.16459353
39	4	6	0.17146866
40	4	7	0.16024992
41	4	8	0.16091223
42	4	9	0.15942347
43	4	10	0.15159833
44	4	11	0.14627272
