Point	Row	Column	MaxInt_111
1	1	1	1248.095
2	1	2	2207.5024
3	1	3	2536.7168
4	1	4	2650.7773
5	1	5	2684.885
6	1	6	2667.0046
7	1	7	2488.1902
8	1	8	2290.6687
9	1	9	1954.0135
10	1	10	1533.7285
11	1	11	941.7525
12	2	1	4209.9805
13	2	2	4604.1123
14	2	3	4896.8403
15	2	4	4928.8164
16	2	5	4964.1738
17	2	6	4712.8291
18	2	7	4263.731
19	2	8	3905.7827
20	2	9	3391.0425
21	2	10	2776.6658
22	2	11	1811.5903
23	3	1	4635.3164
24	3	2	5184.1064
25	3	3	5545.1372
26	3	4	5529.4473
27	3	5	5317.7549
28	3	6	4820.4912
29	3	7	4429.5869
30	3	8	4051.4639
31	3	9	3568.2327
32	3	10	2969.4968
33	3	11	2370.7991
34	4	1	3365.7656
35	4	2	3768.3438
36	4	3	3904.4556
37	4	4	3688.6829
38	4	5	3406.5869
39	4	6	3133.251
40	4	7	2915.9014
41	4	8	2508.4539
42	4	9	2169.6338
43	4	10	1689.969
44	4	11	909.2525
