Point	Row	Column	a_Ang
1	1	1	4.1233902
2	1	2	4.1201935
3	1	3	4.1189733
4	1	4	4.1173162
5	1	5	4.1181369
6	1	6	4.1192012
7	1	7	4.1188717
8	1	8	4.1198192
9	1	9	4.1212153
10	1	10	4.1236272
11	1	11	4.1269646
12	2	1	4.114532
13	2	2	4.1120424
14	2	3	4.1116462
15	2	4	4.1122251
16	2	5	4.1137347
17	2	6	4.1157598
18	2	7	4.1173077
19	2	8	4.1197529
20	2	9	4.120966
21	2	10	4.1225653
22	2	11	4.1267323
23	3	1	4.1108108
24	3	2	4.1100984
25	3	3	4.11165
26	3	4	4.1126676
27	3	5	4.1146445
28	3	6	4.1162143
29	3	7	4.1172729
30	3	8	4.1201591
31	3	9	4.1204176
32	3	10	4.1222515
33	3	11	4.1237001
34	4	1	4.1178408
35	4	2	4.1167922
36	4	3	4.1166987
37	4	4	4.1173844
38	4	5	4.1184897
39	4	6	4.11904
40	4	7	4.1210942
41	4	8	4.1213894
42	4	9	4.1219473
43	4	10	4.1250467
44	4	11	4.1309342
