Point	Row	Column	Norm_Int110
1	1	1	12.377557
2	1	2	11.084093
3	1	3	10.914145
4	1	4	10.141737
5	1	5	10.080531
6	1	6	10.121983
7	1	7	9.9738998
8	1	8	10.16699
9	1	9	10.132986
10	1	10	10.559097
11	1	11	10.618713
12	2	1	10.787308
13	2	2	10.230342
14	2	3	10.189664
15	2	4	9.8145084
16	2	5	9.7142773
17	2	6	9.8024969
18	2	7	9.8341904
19	2	8	10.223239
20	2	9	10.247769
21	2	10	10.800634
22	2	11	11.671178
23	3	1	11.123966
24	3	2	10.509908
25	3	3	10.241796
26	3	4	9.9138317
27	3	5	9.9158745
28	3	6	9.8428669
29	3	7	9.9989157
30	3	8	10.065539
31	3	9	10.399249
32	3	10	10.5952
33	3	11	10.825695
34	4	1	12.482652
35	4	2	11.847501
36	4	3	11.288068
37	4	4	11.011395
38	4	5	11.083774
39	4	6	11.048149
40	4	7	10.812867
41	4	8	10.975112
42	4	9	11.224507
43	4	10	11.58464
44	4	11	12.872582
