Point	Row	Column	PeakArea_110
1	1	1	7.5447512
2	1	2	7.2980065
3	1	3	7.0720315
4	1	4	6.9202008
5	1	5	7.1148286
6	1	6	6.7561707
7	1	7	6.5632753
8	1	8	6.8772216
9	1	9	6.8637233
10	1	10	6.6498656
11	1	11	6.568922
12	2	1	7.7725668
13	2	2	7.3424397
14	2	3	7.1244507
15	2	4	6.9899731
16	2	5	6.9358721
17	2	6	7.1308427
18	2	7	7.2313447
19	2	8	7.2880144
20	2	9	7.2390022
21	2	10	7.3519411
22	2	11	7.8800797
23	3	1	7.9535108
24	3	2	7.6724477
25	3	3	7.460155
26	3	4	7.290834
27	3	5	7.1831155
28	3	6	7.4215617
29	3	7	7.411819
30	3	8	7.5511713
31	3	9	7.561882
32	3	10	7.4214935
33	3	11	7.7502732
34	4	1	8.8255577
35	4	2	8.386651
36	4	3	8.0383081
37	4	4	8.0812016
38	4	5	8.0723314
39	4	6	7.9967589
40	4	7	7.9304767
41	4	8	7.8627243
42	4	9	8.0217791
43	4	10	7.8564553
44	4	11	8.0875082
