Point	Row	Column	_s_FWHM
1	1	1	0.40972775
2	1	2	0.40412784
3	1	3	0.39139166
4	1	4	0.37769294
5	1	5	0.3638345
6	1	6	0.34811914
7	1	7	0.33447412
8	1	8	0.32117271
9	1	9	0.30747607
10	1	10	0.29264271
11	1	11	0.27371532
12	2	1	0.44850707
13	2	2	0.43983245
14	2	3	0.42923534
15	2	4	0.41111523
16	2	5	0.39778504
17	2	6	0.38004044
18	2	7	0.36107495
19	2	8	0.34959209
20	2	9	0.32949936
21	2	10	0.31999689
22	2	11	0.29851422
23	3	1	0.4745962
24	3	2	0.46299914
25	3	3	0.44897604
26	3	4	0.43530148
27	3	5	0.41531464
28	3	6	0.39969936
29	3	7	0.38336372
30	3	8	0.36580753
31	3	9	0.34595621
32	3	10	0.3294903
33	3	11	0.31148064
34	4	1	0.48293287
35	4	2	0.46969995
36	4	3	0.46019718
37	4	4	0.44320491
38	4	5	0.42613059
39	4	6	0.41134623
40	4	7	0.39349422
41	4	8	0.37528756
42	4	9	0.35684091
43	4	10	0.33946493
44	4	11	0.31991032
