Point	Row	Column	110_s_Area
1	1	1	0.50169826
2	1	2	0.51744837
3	1	3	0.53490496
4	1	4	0.55797333
5	1	5	0.57726222
6	1	6	0.59781069
7	1	7	0.61640096
8	1	8	0.6407876
9	1	9	0.65817821
10	1	10	0.67750585
11	1	11	0.70527214
12	2	1	0.45565507
13	2	2	0.47675699
14	2	3	0.49205554
15	2	4	0.51711553
16	2	5	0.54014313
17	2	6	0.56640846
18	2	7	0.5899663
19	2	8	0.60894102
20	2	9	0.63308793
21	2	10	0.65377748
22	2	11	0.67929727
23	3	1	0.42384961
24	3	2	0.44873655
25	3	3	0.46645057
26	3	4	0.48700392
27	3	5	0.515885
28	3	6	0.53520375
29	3	7	0.5607143
30	3	8	0.58337247
31	3	9	0.60567915
32	3	10	0.63015527
33	3	11	0.65726548
34	4	1	0.40801364
35	4	2	0.4292382
36	4	3	0.44831324
37	4	4	0.47075495
38	4	5	0.49058777
39	4	6	0.51387006
40	4	7	0.53870612
41	4	8	0.56292009
42	4	9	0.58485276
43	4	10	0.60959071
44	4	11	0.63879347
