Point	Row	Column	_s_Area
1	1	1	0.25084913
2	1	2	0.25872418
3	1	3	0.26745248
4	1	4	0.27898666
5	1	5	0.28863111
6	1	6	0.29890534
7	1	7	0.30820048
8	1	8	0.3203938
9	1	9	0.32908911
10	1	10	0.33875293
11	1	11	0.35263607
12	2	1	0.22782753
13	2	2	0.23837849
14	2	3	0.24602777
15	2	4	0.25855777
16	2	5	0.27007157
17	2	6	0.28320423
18	2	7	0.29498315
19	2	8	0.30447051
20	2	9	0.31654397
21	2	10	0.32688874
22	2	11	0.33964863
23	3	1	0.21192481
24	3	2	0.22436827
25	3	3	0.23322529
26	3	4	0.24350196
27	3	5	0.2579425
28	3	6	0.26760188
29	3	7	0.28035715
30	3	8	0.29168624
31	3	9	0.30283958
32	3	10	0.31507763
33	3	11	0.32863274
34	4	1	0.20400682
35	4	2	0.2146191
36	4	3	0.22415662
37	4	4	0.23537748
38	4	5	0.24529389
39	4	6	0.25693503
40	4	7	0.26935306
41	4	8	0.28146005
42	4	9	0.29242638
43	4	10	0.30479535
44	4	11	0.31939673
