Point	Row	Column	PeakArea_110
1	1	1	10.144281
2	1	2	9.8111467
3	1	3	9.398675
4	1	4	9.3996286
5	1	5	9.1915951
6	1	6	9.1029739
7	1	7	9.005579
8	1	8	8.9286814
9	1	9	8.6966562
10	1	10	8.9287271
11	1	11	9.0328197
12	2	1	9.4540682
13	2	2	9.1635723
14	2	3	5.713016
15	2	4	
16	2	5	
17	2	6	
18	2	7	
19	2	8	
20	2	9	
21	2	10	
22	2	11	
23	3	1	9.0524597
24	3	2	10.029448
25	3	3	5.3488903
26	3	4	
27	3	5	
28	3	6	
29	3	7	
30	3	8	
31	3	9	
32	3	10	
33	3	11	2.3805597
34	4	1	9.6692657
35	4	2	9.5264769
36	4	3	9.3961458
37	4	4	9.6246662
38	4	5	10.057626
39	4	6	9.2987394
40	4	7	9.0718794
41	4	8	9.4264793
42	4	9	9.6602011
43	4	10	9.5625105
44	4	11	9.8033161
