Point	Row	Column	_s_Sigma
1	1	1	0.14888251
2	1	2	0.14533535
3	1	3	0.13629773
4	1	4	0.13174833
5	1	5	0.12460483
6	1	6	0.11593098
7	1	7	0.10582895
8	1	8	0.095761724
9	1	9	0.091006488
10	1	10	0.079348311
11	1	11	0.074501894
12	2	1	0.17523637
13	2	2	0.16802607
14	2	3	0.16118823
15	2	4	0.1511849
16	2	5	0.14380716
17	2	6	0.13281587
18	2	7	0.12298245
19	2	8	0.1130935
20	2	9	0.10333944
21	2	10	0.094532035
22	2	11	0.086738802
23	3	1	0.19009264
24	3	2	0.17965579
25	3	3	0.17061219
26	3	4	0.16616836
27	3	5	0.15649879
28	3	6	0.14820106
29	3	7	0.13159479
30	3	8	0.12727064
31	3	9	0.11513956
32	3	10	0.1073505
33	3	11	0.093473315
34	4	1	0.19281699
35	4	2	0.18676771
36	4	3	0.17914544
37	4	4	0.1696633
38	4	5	0.16356348
39	4	6	0.15176807
40	4	7	0.14306802
41	4	8	0.13280769
42	4	9	0.1240607
43	4	10	0.10964481
44	4	11	0.098968647
