Point	Row	Column	Norm_d
1	1	1	0.15838011
2	1	2	0.26329857
3	1	3	0.37182572
4	1	4	0.43744987
5	1	5	0.48262498
6	1	6	0.50347501
7	1	7	0.49826249
8	1	8	0.44119218
9	1	9	0.37222669
10	1	10	0.26503608
11	1	11	0.14554931
12	2	1	0.59663194
13	2	2	0.72881585
14	2	3	0.86407375
15	2	4	0.95335472
16	2	5	0.98877305
17	2	6	1
18	2	7	0.97741246
19	2	8	0.91553062
20	2	9	0.80606788
21	2	10	0.64795512
22	2	11	0.47460571
23	3	1	0.65584069
24	3	2	0.78000534
25	3	3	0.90016037
26	3	4	0.96150762
27	3	5	0.97848171
28	3	6	0.98850572
29	3	7	0.94627106
30	3	8	0.84910452
31	3	9	0.74218124
32	3	10	0.58740979
33	3	11	0.42101043
34	4	1	0.28361401
35	4	2	0.36701417
36	4	3	0.43277198
37	4	4	0.47567496
38	4	5	0.48262498
39	4	6	0.47219995
40	4	7	0.43143544
41	4	8	0.35578722
42	4	9	0.26503608
43	4	10	0.14554931
44	4	11	0
