Point	Row	Column	110_s_Area
1	1	1	0.40755501
2	1	2	0.41034457
3	1	3	0.4114978
4	1	4	0.41414401
5	1	5	0.40926301
6	1	6	0.42012021
7	1	7	0.42422661
8	1	8	0.4350428
9	1	9	0.43498877
10	1	10	0.45092097
11	1	11	0.49047816
12	2	1	0.41103405
13	2	2	0.41479859
14	2	3	0.41452441
15	2	4	0.41283
16	2	5	0.41822621
17	2	6	0.41711459
18	2	7	0.41604796
19	2	8	0.42654321
20	2	9	0.43233484
21	2	10	0.44366086
22	2	11	0.48198321
23	3	1	0.429755
24	3	2	0.42771059
25	3	3	0.4242208
26	3	4	0.42600644
27	3	5	0.43033877
28	3	6	0.43440679
29	3	7	0.4312306
30	3	8	0.43317637
31	3	9	0.44591984
32	3	10	0.46061021
33	3	11	0.50621623
34	4	1	0.42167094
35	4	2	0.42004779
36	4	3	0.4237608
37	4	4	0.42353639
38	4	5	0.43048161
39	4	6	0.42948514
40	4	7	0.43241221
41	4	8	0.44013181
42	4	9	0.44327119
43	4	10	0.46847239
44	4	11	0.51196158
