Point	Row	Column	_s_FWHM
1	1	1	0.209281
2	1	2	0.21196137
3	1	3	0.2050764
4	1	4	0.2127254
5	1	5	0.2104748
6	1	6	0.1910542
7	1	7	0.18718541
8	1	8	0.17249259
9	1	9	0.17297898
10	1	10	0.17101999
11	1	11	0.16409099
12	2	1	0.21615303
13	2	2	0.20919479
14	2	3	0.2151684
15	2	4	0.2052502
16	2	5	0.19637901
17	2	6	0.19636419
18	2	7	0.19446059
19	2	8	0.1817396
20	2	9	0.17827302
21	2	10	0.17317502
22	2	11	0.16230039
23	3	1	0.18839879
24	3	2	0.1954684
25	3	3	0.18100619
26	3	4	0.19234842
27	3	5	0.17508039
28	3	6	0.1715838
29	3	7	0.17370661
30	3	8	0.16673338
31	3	9	0.12875661
32	3	10	0.1340408
33	3	11	0.127389
34	4	1	0.19782558
35	4	2	0.20278621
36	4	3	0.1905954
37	4	4	0.1952202
38	4	5	0.175826
39	4	6	0.17045598
40	4	7	0.180555
41	4	8	0.1814072
42	4	9	0.1693572
43	4	10	0.1529932
44	4	11	0.1103912
