FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Cubic lattice constant (A),PROPERTY: Film thickness ($\mu$m),PROPERTY: FWHM of 110 peak ($^{\circ}$),PROPERTY: FWHM of 111 peak ($^{\circ}$),PROPERTY: FWHM of 200 peak ($^{\circ}$),PROPERTY: Max intensity of 110 peak (counts),PROPERTY: Max intensity of 111 peak (counts),PROPERTY: Max intensity of 200 peak (counts),PROPERTY: Area of 110 peak,PROPERTY: Position of 110 peak ($^{\circ}$),PROPERTY: Position of 111 peak ($^{\circ}$),PROPERTY: Position of 200 peak ($^{\circ}$),IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio,IDENTIFIER: Date,PREPARATION STEP NAME,PREPARATION STEP DETAIL: Targets used,PREPARATION STEP DETAIL: Laser Energy (mJ),PREPARATION STEP DETAIL: Laser Voltage (kV),PREPARATION STEP DETAIL: Temperature ($^{\circ}$C),PREPARATION STEP DETAIL: Temperature Gradient,PREPARATION STEP DETAIL: Number of Cycles,PREPARATION STEP DETAIL: Laser Pulse Frequency (Hz),PREPARATION STEP DETAIL: Deposition Pressure (mTorr),PREPARATION STEP DETAIL: Substrate,PREPARATION STEP DETAIL: BZC19 Pulses/Cycle,PREPARATION STEP DETAIL: BZC91 Pulses/Cycle,PREPARATION STEP DETAIL: BZF19 Pulses/Cycle,PREPARATION STEP DETAIL: BZY82 Pulses/Cycle,PREPARATION STEP DETAIL: BZYCF1135 Pulses/Cycle,PREPARATION STEP DETAIL: BZYF631 Pulses/Cycle,PREPARATION STEP DETAIL: B12ZY82 Pulses/Cycle,PREPARATION STEP DETAIL: Average Target Pulses/Cycle,PREPARATION STEP DETAIL: BZC19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZC91 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZF19 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZY82 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYCF1135 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: BZYF631 Substrate Angle ($^{\circ}$),PREPARATION STEP DETAIL: B12ZY82 Substrate Angle ($^{\circ}$)
Ba0.90295Co0.26612Fe0.46668Y0.11108Zr0.15613O3,01229,11,1,11,4.1048479,0.07118000099999999,0.53541774,,,1134.9327,,,11.515462,30.767484999999997,,,45.37999,44.14201,0.8899963601861396,2.149991207191236,1.4899939063790426,137.32643837672134,1.6975005,1.4545595,0.8521085666666668,65.8635113914,0.9029536927902992,0.5242981431735305,1.4781046819956394,1.748596322893099,2.085015442930856,3_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.6,850,N,200.0,40,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.92739Co0.25437Fe0.39611Y0.14121Zr0.20831O3,01229,12,2,1,4.0968485,0.13085,0.54978698,0.48093069,,2253.062,855.2832,,12.646955,30.829052,37.979458,,5.4000001,31.643998999999997,0.8899996191603062,2.1499990799939983,1.4899993624144452,137.32694123643526,1.6524254,1.475012,0.8591297249999998,68.66886628065001,0.9273903968394098,0.5386019962900027,1.457614636351432,1.7343124315881928,1.9998428498175482,3_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.6,850,N,200.0,40,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.93688Co0.25488Fe0.40171Y0.14082Zr0.20259O3,01229,13,2,2,,0.13499001,,,,,,,,,,,9.397999800000001,31.643998999999997,0.8900011852553391,2.1500028632572796,1.4900019843038823,137.32718288489883,1.6555488,1.4739725,0.8589707750000001,68.4551796486,0.9368787523139964,0.5375868021862835,1.4586451668923808,1.7346364133330172,2.0060889999827407,3_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.6,850,N,200.0,40,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.9368Co0.25409Fe0.40143Y0.13611Zr0.20837O3,01229,14,2,3,,0.13675,,,,,,,,,,,13.39599,31.643998999999997,0.8899976048565482,2.149994213979302,1.4899959901530977,137.3266304293654,1.6554924,1.472995,0.8581974916666667,68.50151399105,0.9368025210971056,0.5376029541763817,1.4596072722441704,1.7361924319534465,2.0047240189071975,3_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.6,850,N,200.0,40,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.94178Co0.25678Fe0.40081Y0.14313Zr0.19928O3,01229,15,2,4,,0.13387001,,,,,,,,,,,17.393998999999997,31.643998999999997,0.8900021427576169,2.15000517632458,1.4900035873133137,137.3273306275003,1.6558897000000001,1.4743049999999998,0.8592191583333334,68.4203132926,0.9417777325826854,0.5374767067864585,1.4583177675749457,1.7341368297740727,2.0071134436379867,3_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.6,850,N,200.0,40,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.95597Co0.2617Fe0.40902Y0.13722Zr0.19206O3,01229,16,2,5,,0.12930999999999998,,,,,,,,,,,21.391991,31.643998999999997,0.8899972962327544,2.14999346842744,1.4899954734683192,137.326582808714,1.6633508,1.470612,0.8576427833333334,67.9846812085,0.955972904189018,0.5350628960726471,1.461971933064221,1.7373147683669299,2.0199636207390834,3_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.6,850,N,200.0,40,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.94279Co0.26357Fe0.40518Y0.1405Zr0.19075O3,01229,17,2,6,,0.12172000000000001,,,,,,,,,,,25.389999,31.643998999999997,0.889995430002328,2.1499889601179833,1.4899923491050209,137.3262948493592,1.6620985,1.471634,0.8580905666666667,68.05254923115,0.942794841090145,0.5354649137835862,1.4609535795707242,1.7364045323246424,2.017944902885434,3_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.6,850,N,200.0,40,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.95375Co0.26204Fe0.40643Y0.14157Zr0.18996O3,01229,18,2,7,,0.11292999999999999,,,,,,,,,,,29.38802,31.643998999999997,0.8899994499851342,2.1499986713124026,1.4899990791885955,137.3269151327062,1.6617642999999997,1.47202,0.8584140416666667,68.05524999229999,0.9537505894123622,0.535575021069555,1.4605770786486614,1.7357580454947654,2.017873935489824,3_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.6,850,N,200.0,40,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.96191Co0.269Fe0.41842Y0.1343Zr0.17828O3,01229,19,2,8,,0.10142000000000001,,,,,,,,,,,33.386009,31.643998999999997,0.8900043270600018,2.1500104530101165,1.490007244179104,137.32766766535826,1.672387,1.4670120000000002,0.8563775166666667,67.42316473,0.9619053233460112,0.5321760615575233,1.4655711425742368,1.7398953325850437,2.036802458254443,3_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.6,850,N,200.0,40,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
Ba0.95141Co0.26933Fe0.42183Y0.1349Zr0.17394O3,01229,20,2,9,,0.09068000300000001,,,,,,,,,,,37.384009999999996,31.643998999999997,0.889999187562206,2.149998037369374,1.4899986398513336,137.3268746408484,1.6742074999999998,1.4665845000000002,0.8564296916666667,67.29047548435,0.9514108684967946,0.531594314063344,1.4659898815031618,1.7397792887723234,2.0408070184135796,3_Mar_2017,Pulsed Laser Deposition,BZYCF1135,600.0,18.6,850,N,200.0,40,50.0,EXG,0,0,0,0,125,0,0,125.0,0,0,0,0,0,0,0
