Point	Row	Column	Norm_d
1	1	1	0.95298415
2	1	2	1
3	1	3	0.98915899
4	1	4	0.95446765
5	1	5	0.89101905
6	1	6	0.75613374
7	1	7	0.63163298
8	1	8	0.48396668
9	1	9	0.33972383
10	1	10	0.2096314
11	1	11	0.086956523
12	2	1	0.76788771
13	2	2	0.81513178
14	2	3	0.83521622
15	2	4	0.80235082
16	2	5	0.75031382
17	2	6	0.66369963
18	2	7	0.56339151
19	2	8	0.43204382
20	2	9	0.30948305
21	2	10	0.19023165
22	2	11	0.080566019
23	3	1	0.31541708
24	3	2	0.34736961
25	3	3	0.36403057
26	3	4	0.35992241
27	3	5	0.33116513
28	3	6	0.28083989
29	3	7	0.22503708
30	3	8	0.15611093
31	3	9	0.081478946
32	3	10	0
33	3	11	-0.0649321
34	4	1	0.64156109
35	4	2	0.66118908
36	4	3	0.64384341
37	4	4	0.59922403
38	4	5	0.52208149
39	4	6	0.44493896
40	4	7	0.34166381
41	4	8	0.23873103
42	4	9	0.13465708
43	4	10	0.035832476
44	4	11	-0.056031041
