Point	Row	Column	Fe_at
1	1	1	0.20377751
2	1	2	0.20517229
3	1	3	0.2057489
4	1	4	0.207072
5	1	5	0.20463151
6	1	6	0.2100601
7	1	7	0.21211331
8	1	8	0.2175214
9	1	9	0.21749438
10	1	10	0.22546048
11	1	11	0.24523908
12	2	1	0.20551702
13	2	2	0.20739929
14	2	3	0.2072622
15	2	4	0.206415
16	2	5	0.20911311
17	2	6	0.20855729
18	2	7	0.20802398
19	2	8	0.2132716
20	2	9	0.21616742
21	2	10	0.22183043
22	2	11	0.24099161
23	3	1	0.2148775
24	3	2	0.2138553
25	3	3	0.2121104
26	3	4	0.21300322
27	3	5	0.21516939
28	3	6	0.21720339
29	3	7	0.2156153
30	3	8	0.21658818
31	3	9	0.22295992
32	3	10	0.23030511
33	3	11	0.25310811
34	4	1	0.21083547
35	4	2	0.21002389
36	4	3	0.2118804
37	4	4	0.2117682
38	4	5	0.21524081
39	4	6	0.21474257
40	4	7	0.2162061
41	4	8	0.22006591
42	4	9	0.22163559
43	4	10	0.2342362
44	4	11	0.25598079
