Point	Row	Column	Norm_d
1	1	1	0.021964008
2	1	2	0.17897123
3	1	3	0.30329224
4	1	4	0.41367909
5	1	5	0.4747532
6	1	6	0.50540835
7	1	7	0.47361958
8	1	8	0.4138208
9	1	9	0.31340042
10	1	10	0.18171082
11	1	11	0.03254452
12	2	1	0.36309102
13	2	2	0.56468755
14	2	3	0.73775446
15	2	4	0.87728494
16	2	5	0.97775257
17	2	6	1
18	2	7	0.97312361
19	2	8	0.8962732
20	2	9	0.7591989
21	2	10	0.58216429
22	2	11	0.36379954
23	3	1	0.34027681
24	3	2	0.55542958
25	3	3	0.73270041
26	3	4	0.87086111
27	3	5	0.95725286
28	3	6	0.9931038
29	3	7	0.96358228
30	3	8	0.88115817
31	3	9	0.74309194
32	3	10	0.57748806
33	3	11	0.36535826
34	4	1	0
35	4	2	0.14746587
36	4	3	0.28255633
37	4	4	0.37608048
38	4	5	0.43904397
39	4	6	0.46525908
40	4	7	0.44320062
41	4	8	0.38708612
42	4	9	0.28864956
43	4	10	0.15757404
44	4	11	-0.018326957
