Point	Row	Column	Zr_at
1	1	1	0.46609139
2	1	2	0.46878618
3	1	3	0.46741244
4	1	4	0.46829748
5	1	5	0.46762869
6	1	6	0.46717855
7	1	7	0.46945238
8	1	8	0.4681904
9	1	9	0.46672598
10	1	10	0.46553206
11	1	11	0.46540043
12	2	1	0.46635824
13	2	2	0.46716058
14	2	3	0.46918312
15	2	4	0.46868855
16	2	5	0.46803719
17	2	6	0.47083923
18	2	7	0.47067976
19	2	8	0.47085387
20	2	9	0.47039515
21	2	10	0.46821249
22	2	11	0.4666642
23	3	1	0.46818888
24	3	2	0.46842223
25	3	3	0.46994036
26	3	4	0.46928471
27	3	5	0.46977147
28	3	6	0.47022706
29	3	7	0.47020474
30	3	8	0.46816242
31	3	9	0.46880215
32	3	10	0.46832526
33	3	11	0.46677706
34	4	1	0.46732885
35	4	2	0.46483719
36	4	3	0.46686101
37	4	4	0.46787104
38	4	5	0.46638727
39	4	6	0.46861422
40	4	7	0.46759367
41	4	8	0.4677586
42	4	9	0.46751797
43	4	10	0.46709299
44	4	11	0.46127138
