Point	Row	Column	Frac_111
1	1	1	0.27881607
2	1	2	0.2959711
3	1	3	0.31932572
4	1	4	0.33686605
5	1	5	0.3069638
6	1	6	0.27562261
7	1	7	0.23189074
8	1	8	0.20291816
9	1	9	0.19420663
10	1	10	0.202682
11	1	11	0.20406514
12	2	1	0.34361327
13	2	2	0.37513146
14	2	3	0.41468531
15	2	4	0.42991474
16	2	5	0.43477473
17	2	6	0.42888516
18	2	7	0.42303053
19	2	8	0.39489138
20	2	9	0.32217604
21	2	10	0.23919021
22	2	11	0.18627147
23	3	1	0.29542857
24	3	2	0.33479637
25	3	3	0.36638096
26	3	4	0.39794669
27	3	5	0.41796204
28	3	6	0.42666537
29	3	7	0.41889748
30	3	8	0.39472458
31	3	9	0.35982567
32	3	10	0.28109485
33	3	11	0.21390639
34	4	1	0.3357195
35	4	2	0.36315504
36	4	3	0.37311673
37	4	4	0.38034028
38	4	5	0.35812619
39	4	6	0.3188546
40	4	7	0.29077953
41	4	8	0.27235171
42	4	9	0.25411576
43	4	10	0.22656997
44	4	11	0.23522365
