Point	Row	Column	Fe_at
1	1	1	0.29226872
2	1	2	0.28515613
3	1	3	0.27440763
4	1	4	0.26499119
5	1	5	0.2526747
6	1	6	0.24231678
7	1	7	0.23293246
8	1	8	0.22398032
9	1	9	0.21359321
10	1	10	0.20652865
11	1	11	0.20572433
12	2	1	0.29178321
13	2	2	0.28591394
14	2	3	0.27748132
15	2	4	0.26824376
16	2	5	0.25803742
17	2	6	0.24637769
18	2	7	0.23291875
19	2	8	0.21946828
20	2	9	0.20696108
21	2	10	0.19569127
22	2	11	0.18978965
23	3	1	0.25967082
24	3	2	0.25447759
25	3	3	0.24688946
26	3	4	0.23870791
27	3	5	0.22840537
28	3	6	0.21862124
29	3	7	0.20620525
30	3	8	0.19569057
31	3	9	0.18437396
32	3	10	0.17514905
33	3	11	0.17006961
34	4	1	0.22734697
35	4	2	0.2206116
36	4	3	0.21279781
37	4	4	0.20234613
38	4	5	0.19420661
39	4	6	0.18387067
40	4	7	0.17453088
41	4	8	0.16797602
42	4	9	0.15939613
43	4	10	0.1546409
44	4	11	0.15160702
