Point	Row	Column	FWHM_110
1	1	1	0.55480748
2	1	2	0.55639207
3	1	3	0.53710264
4	1	4	0.53167808
5	1	5	0.55207241
6	1	6	0.53531528
7	1	7	0.50655824
8	1	8	0.52191073
9	1	9	0.51679057
10	1	10	0.54890823
11	1	11	0.54451549
12	2	1	0.59227407
13	2	2	0.59253836
14	2	3	0.57832569
15	2	4	0.57905841
16	2	5	0.59063447
17	2	6	0.59001529
18	2	7	0.58926713
19	2	8	0.58145714
20	2	9	0.55678016
21	2	10	0.50166059
22	2	11	0.50162184
23	3	1	0.60749954
24	3	2	0.58665371
25	3	3	0.5827713
26	3	4	0.59306699
27	3	5	0.59537655
28	3	6	0.6048553
29	3	7	0.61486083
30	3	8	0.595231
31	3	9	0.5808236
32	3	10	0.52815956
33	3	11	0.4961046
34	4	1	0.54804063
35	4	2	0.54706931
36	4	3	0.53983599
37	4	4	0.54852813
38	4	5	0.56875163
39	4	6	0.54882812
40	4	7	0.54519945
41	4	8	0.57196194
42	4	9	0.57955056
43	4	10	0.59804112
44	4	11	0.60890591
