Point	Row	Column	Norm_d
1	1	1	0.30201393
2	1	2	0.34458759
3	1	3	0.3746483
4	1	4	0.37042797
5	1	5	0.35221383
6	1	6	0.30926996
7	1	7	0.24196653
8	1	8	0.16651858
9	1	9	0.088108987
10	1	10	0
11	1	11	-0.085591592
12	2	1	0.71116543
13	2	2	0.83207464
14	2	3	0.9256627
15	2	4	0.97253072
16	2	5	0.96660745
17	2	6	0.91973937
18	2	7	0.84384716
19	2	8	0.74167037
20	2	9	0.61254257
21	2	10	0.4757145
22	2	11	0.33644307
23	3	1	0.52199024
24	3	2	0.66281652
25	3	3	0.79957056
26	3	4	0.90359843
27	3	5	0.97075373
28	3	6	1
29	3	7	0.98141569
30	3	8	0.92314529
31	3	9	0.82015401
32	3	10	0.69976306
33	3	11	0.55834442
34	4	1	0.027617356
35	4	2	0.12712869
36	4	3	0.23352584
37	4	4	0.34473568
38	4	5	0.43166
39	4	6	0.50807047
40	4	7	0.54590553
41	4	8	0.54553533
42	4	9	0.51340145
43	4	10	0.44743076
44	4	11	0.36065453
